State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,612.0,5761.0,0.0,0.0,0.0,SUB-DISTRICT,Oddanchatram,Total,52829.0,182600.0,91247.0,91353.0,14599.0,7612.0,6987.0,40967.0,20426.0,20541.0,168.0,90.0,78.0,122037.0,68960.0,53077.0,60563.0,22287.0,38276.0,108861.0,60917.0,47944.0,98572.0,56352.0,42220.0,35282.0,20002.0,15280.0,38455.0,17616.0,20839.0,1422.0,785.0,637.0,23413.0,17949.0,5464.0,10289.0,4565.0,5724.0,1332.0,665.0,667.0,6710.0,2552.0,4158.0,235.0,94.0,141.0,2012.0,1254.0,758.0,9487.0,4179.0,5308.0,1278.0,635.0,643.0,6314.0,2412.0,3902.0,175.0,70.0,105.0,1720.0,1062.0,658.0,802.0,386.0,416.0,54.0,30.0,24.0,396.0,140.0,256.0,60.0,24.0,36.0,292.0,192.0,100.0,73739.0,30330.0,43409.0,,
33.0,612.0,5761.0,0.0,0.0,0.0,SUB-DISTRICT,Oddanchatram,Rural,44783.0,152536.0,76170.0,76366.0,11923.0,6234.0,5689.0,34864.0,17360.0,17504.0,151.0,81.0,70.0,98854.0,56554.0,42300.0,53682.0,19616.0,34066.0,96123.0,51824.0,44299.0,86250.0,47455.0,38795.0,34155.0,19221.0,14934.0,36472.0,16687.0,19785.0,1258.0,695.0,563.0,14365.0,10852.0,3513.0,9873.0,4369.0,5504.0,1323.0,658.0,665.0,6576.0,2529.0,4047.0,219.0,91.0,128.0,1755.0,1091.0,664.0,9193.0,4042.0,5151.0,1271.0,630.0,641.0,6219.0,2398.0,3821.0,168.0,68.0,100.0,1535.0,946.0,589.0,680.0,327.0,353.0,52.0,28.0,24.0,357.0,131.0,226.0,51.0,23.0,28.0,220.0,145.0,75.0,56413.0,24346.0,32067.0,,
33.0,612.0,5761.0,0.0,0.0,0.0,SUB-DISTRICT,Oddanchatram,Urban,8046.0,30064.0,15077.0,14987.0,2676.0,1378.0,1298.0,6103.0,3066.0,3037.0,17.0,9.0,8.0,23183.0,12406.0,10777.0,6881.0,2671.0,4210.0,12738.0,9093.0,3645.0,12322.0,8897.0,3425.0,1127.0,781.0,346.0,1983.0,929.0,1054.0,164.0,90.0,74.0,9048.0,7097.0,1951.0,416.0,196.0,220.0,9.0,7.0,2.0,134.0,23.0,111.0,16.0,3.0,13.0,257.0,163.0,94.0,294.0,137.0,157.0,7.0,5.0,2.0,95.0,14.0,81.0,7.0,2.0,5.0,185.0,116.0,69.0,122.0,59.0,63.0,2.0,2.0,0.0,39.0,9.0,30.0,9.0,1.0,8.0,72.0,47.0,25.0,17326.0,5984.0,11342.0,,
33.0,612.0,5761.0,635176.0,0.0,0.0,VILLAGE,Appanuthu,Rural,300.0,952.0,466.0,486.0,82.0,37.0,45.0,314.0,152.0,162.0,0.0,0.0,0.0,619.0,351.0,268.0,333.0,115.0,218.0,676.0,342.0,334.0,330.0,170.0,160.0,214.0,112.0,102.0,97.0,47.0,50.0,1.0,1.0,0.0,18.0,10.0,8.0,346.0,172.0,174.0,3.0,2.0,1.0,328.0,160.0,168.0,1.0,0.0,1.0,14.0,10.0,4.0,247.0,118.0,129.0,3.0,2.0,1.0,238.0,113.0,125.0,1.0,0.0,1.0,5.0,3.0,2.0,99.0,54.0,45.0,0.0,0.0,0.0,90.0,47.0,43.0,0.0,0.0,0.0,9.0,7.0,2.0,276.0,124.0,152.0,,
33.0,612.0,5761.0,635177.0,0.0,0.0,VILLAGE,Paruthiyur,Rural,373.0,1223.0,609.0,614.0,92.0,56.0,36.0,428.0,207.0,221.0,0.0,0.0,0.0,767.0,435.0,332.0,456.0,174.0,282.0,768.0,417.0,351.0,633.0,350.0,283.0,259.0,156.0,103.0,261.0,125.0,136.0,6.0,4.0,2.0,107.0,65.0,42.0,135.0,67.0,68.0,8.0,7.0,1.0,115.0,55.0,60.0,1.0,0.0,1.0,11.0,5.0,6.0,132.0,65.0,67.0,8.0,7.0,1.0,112.0,53.0,59.0,1.0,0.0,1.0,11.0,5.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,455.0,192.0,263.0,,
33.0,612.0,5761.0,635178.0,0.0,0.0,VILLAGE,Palappampatti,Rural,345.0,1091.0,520.0,571.0,69.0,27.0,42.0,339.0,153.0,186.0,0.0,0.0,0.0,694.0,393.0,301.0,397.0,127.0,270.0,737.0,382.0,355.0,542.0,291.0,251.0,362.0,195.0,167.0,134.0,58.0,76.0,4.0,3.0,1.0,42.0,35.0,7.0,195.0,91.0,104.0,1.0,0.0,1.0,159.0,63.0,96.0,1.0,1.0,0.0,34.0,27.0,7.0,174.0,77.0,97.0,0.0,0.0,0.0,153.0,60.0,93.0,1.0,1.0,0.0,20.0,16.0,4.0,21.0,14.0,7.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,0.0,0.0,14.0,11.0,3.0,354.0,138.0,216.0,,
33.0,612.0,5761.0,635179.0,0.0,0.0,VILLAGE,Poosaripatti,Rural,549.0,1898.0,924.0,974.0,168.0,76.0,92.0,518.0,261.0,257.0,0.0,0.0,0.0,1170.0,670.0,500.0,728.0,254.0,474.0,1213.0,647.0,566.0,1136.0,609.0,527.0,555.0,298.0,257.0,386.0,172.0,214.0,8.0,6.0,2.0,187.0,133.0,54.0,77.0,38.0,39.0,0.0,0.0,0.0,63.0,29.0,34.0,0.0,0.0,0.0,14.0,9.0,5.0,74.0,37.0,37.0,0.0,0.0,0.0,61.0,29.0,32.0,0.0,0.0,0.0,13.0,8.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,685.0,277.0,408.0,,
33.0,612.0,5761.0,635180.0,0.0,0.0,VILLAGE,Appayampatti,Rural,486.0,1631.0,824.0,807.0,121.0,56.0,65.0,241.0,122.0,119.0,0.0,0.0,0.0,1000.0,608.0,392.0,631.0,216.0,415.0,1191.0,621.0,570.0,1178.0,613.0,565.0,780.0,402.0,378.0,333.0,167.0,166.0,6.0,4.0,2.0,59.0,40.0,19.0,13.0,8.0,5.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,5.0,4.0,1.0,11.0,7.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,440.0,203.0,237.0,,
33.0,612.0,5761.0,635181.0,0.0,0.0,VILLAGE,Koothampoodi,Rural,1224.0,4097.0,2028.0,2069.0,298.0,164.0,134.0,670.0,338.0,332.0,0.0,0.0,0.0,2512.0,1465.0,1047.0,1585.0,563.0,1022.0,2807.0,1473.0,1334.0,1842.0,970.0,872.0,752.0,373.0,379.0,739.0,355.0,384.0,32.0,19.0,13.0,319.0,223.0,96.0,965.0,503.0,462.0,540.0,286.0,254.0,327.0,155.0,172.0,10.0,5.0,5.0,88.0,57.0,31.0,951.0,492.0,459.0,531.0,278.0,253.0,326.0,154.0,172.0,8.0,4.0,4.0,86.0,56.0,30.0,14.0,11.0,3.0,9.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1290.0,555.0,735.0,,
33.0,612.0,5761.0,635182.0,0.0,0.0,VILLAGE,M.Athappampatti,Rural,467.0,1355.0,688.0,667.0,74.0,44.0,30.0,268.0,131.0,137.0,0.0,0.0,0.0,920.0,555.0,365.0,435.0,133.0,302.0,1027.0,525.0,502.0,1021.0,523.0,498.0,410.0,265.0,145.0,522.0,201.0,321.0,1.0,1.0,0.0,88.0,56.0,32.0,6.0,2.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,2.0,4.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,163.0,165.0,,
33.0,612.0,5761.0,635183.0,0.0,0.0,VILLAGE,Markampatti,Rural,535.0,1748.0,854.0,894.0,142.0,69.0,73.0,248.0,120.0,128.0,0.0,0.0,0.0,1236.0,673.0,563.0,512.0,181.0,331.0,838.0,530.0,308.0,793.0,503.0,290.0,75.0,56.0,19.0,376.0,164.0,212.0,1.0,1.0,0.0,341.0,282.0,59.0,45.0,27.0,18.0,1.0,1.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,32.0,21.0,11.0,45.0,27.0,18.0,1.0,1.0,0.0,12.0,5.0,7.0,0.0,0.0,0.0,32.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.0,324.0,586.0,,
33.0,612.0,5761.0,635184.0,0.0,0.0,VILLAGE,Ellapatti,Rural,362.0,1272.0,625.0,647.0,91.0,53.0,38.0,588.0,294.0,294.0,0.0,0.0,0.0,802.0,460.0,342.0,470.0,165.0,305.0,811.0,419.0,392.0,805.0,418.0,387.0,322.0,178.0,144.0,456.0,222.0,234.0,2.0,0.0,2.0,25.0,18.0,7.0,6.0,1.0,5.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,206.0,255.0,,
33.0,612.0,5761.0,635185.0,0.0,0.0,VILLAGE,Chinnakkampatti,Rural,560.0,1964.0,971.0,993.0,139.0,79.0,60.0,209.0,98.0,111.0,0.0,0.0,0.0,1278.0,724.0,554.0,686.0,247.0,439.0,1247.0,665.0,582.0,1228.0,654.0,574.0,744.0,381.0,363.0,305.0,144.0,161.0,7.0,4.0,3.0,172.0,125.0,47.0,19.0,11.0,8.0,5.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,10.0,6.0,4.0,18.0,10.0,8.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,10.0,6.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,306.0,411.0,,
33.0,612.0,5761.0,635186.0,0.0,0.0,VILLAGE,I.Vadipatti,Rural,611.0,2003.0,1000.0,1003.0,144.0,74.0,70.0,616.0,297.0,319.0,3.0,1.0,2.0,1394.0,786.0,608.0,609.0,214.0,395.0,1435.0,740.0,695.0,1422.0,730.0,692.0,427.0,228.0,199.0,852.0,392.0,460.0,11.0,7.0,4.0,132.0,103.0,29.0,13.0,10.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,1.0,11.0,9.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,260.0,308.0,,
33.0,612.0,5761.0,635187.0,0.0,0.0,VILLAGE,Kondarangi Keeranur,Rural,947.0,3127.0,1578.0,1549.0,239.0,143.0,96.0,577.0,278.0,299.0,0.0,0.0,0.0,1943.0,1114.0,829.0,1184.0,464.0,720.0,2093.0,1111.0,982.0,1673.0,914.0,759.0,567.0,384.0,183.0,893.0,369.0,524.0,8.0,7.0,1.0,205.0,154.0,51.0,420.0,197.0,223.0,15.0,6.0,9.0,356.0,170.0,186.0,20.0,9.0,11.0,29.0,12.0,17.0,383.0,178.0,205.0,15.0,6.0,9.0,340.0,161.0,179.0,5.0,1.0,4.0,23.0,10.0,13.0,37.0,19.0,18.0,0.0,0.0,0.0,16.0,9.0,7.0,15.0,8.0,7.0,6.0,2.0,4.0,1034.0,467.0,567.0,,
33.0,612.0,5761.0,635188.0,0.0,0.0,VILLAGE,Kariyampatti,Rural,1123.0,3823.0,1947.0,1876.0,249.0,121.0,128.0,739.0,376.0,363.0,0.0,0.0,0.0,2520.0,1497.0,1023.0,1303.0,450.0,853.0,2595.0,1389.0,1206.0,2584.0,1386.0,1198.0,1249.0,756.0,493.0,965.0,378.0,587.0,18.0,11.0,7.0,352.0,241.0,111.0,11.0,3.0,8.0,2.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,3.0,10.0,3.0,7.0,2.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,558.0,670.0,,
33.0,612.0,5761.0,635189.0,0.0,0.0,VILLAGE,Kallimandayam,Rural,1932.0,6920.0,3554.0,3366.0,595.0,310.0,285.0,1528.0,782.0,746.0,0.0,0.0,0.0,4734.0,2732.0,2002.0,2186.0,822.0,1364.0,4021.0,2336.0,1685.0,3614.0,2152.0,1462.0,1464.0,943.0,521.0,1478.0,705.0,773.0,55.0,34.0,21.0,617.0,470.0,147.0,407.0,184.0,223.0,138.0,71.0,67.0,208.0,86.0,122.0,5.0,2.0,3.0,56.0,25.0,31.0,378.0,175.0,203.0,135.0,69.0,66.0,201.0,85.0,116.0,4.0,2.0,2.0,38.0,19.0,19.0,29.0,9.0,20.0,3.0,2.0,1.0,7.0,1.0,6.0,1.0,0.0,1.0,18.0,6.0,12.0,2899.0,1218.0,1681.0,,
33.0,612.0,5761.0,635190.0,0.0,0.0,VILLAGE,Porulur,Rural,1316.0,4302.0,2174.0,2128.0,300.0,148.0,152.0,1073.0,519.0,554.0,0.0,0.0,0.0,2904.0,1682.0,1222.0,1398.0,492.0,906.0,2954.0,1555.0,1399.0,2593.0,1373.0,1220.0,1201.0,679.0,522.0,910.0,458.0,452.0,204.0,64.0,140.0,278.0,172.0,106.0,361.0,182.0,179.0,95.0,49.0,46.0,181.0,93.0,88.0,9.0,4.0,5.0,76.0,36.0,40.0,359.0,181.0,178.0,95.0,49.0,46.0,179.0,92.0,87.0,9.0,4.0,5.0,76.0,36.0,40.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.0,619.0,729.0,,
33.0,612.0,5761.0,635191.0,0.0,0.0,VILLAGE,Appipalayam,Rural,188.0,604.0,301.0,303.0,43.0,23.0,20.0,165.0,84.0,81.0,0.0,0.0,0.0,373.0,221.0,152.0,231.0,80.0,151.0,425.0,218.0,207.0,415.0,213.0,202.0,242.0,128.0,114.0,139.0,58.0,81.0,17.0,14.0,3.0,17.0,13.0,4.0,10.0,5.0,5.0,6.0,5.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,6.0,5.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,83.0,96.0,,
33.0,612.0,5761.0,635192.0,0.0,0.0,VILLAGE,Pungamuthur,Rural,365.0,1165.0,583.0,582.0,90.0,51.0,39.0,253.0,119.0,134.0,0.0,0.0,0.0,799.0,422.0,377.0,366.0,161.0,205.0,789.0,416.0,373.0,557.0,303.0,254.0,432.0,230.0,202.0,42.0,19.0,23.0,6.0,4.0,2.0,77.0,50.0,27.0,232.0,113.0,119.0,7.0,4.0,3.0,198.0,92.0,106.0,3.0,2.0,1.0,24.0,15.0,9.0,226.0,110.0,116.0,7.0,4.0,3.0,194.0,91.0,103.0,3.0,2.0,1.0,22.0,13.0,9.0,6.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,376.0,167.0,209.0,,
33.0,612.0,5761.0,635193.0,0.0,0.0,VILLAGE,Kothayam,Rural,1089.0,3569.0,1798.0,1771.0,268.0,124.0,144.0,991.0,499.0,492.0,0.0,0.0,0.0,2229.0,1278.0,951.0,1340.0,520.0,820.0,2433.0,1267.0,1166.0,2290.0,1198.0,1092.0,1295.0,680.0,615.0,824.0,403.0,421.0,18.0,9.0,9.0,153.0,106.0,47.0,143.0,69.0,74.0,0.0,0.0,0.0,125.0,55.0,70.0,0.0,0.0,0.0,18.0,14.0,4.0,142.0,69.0,73.0,0.0,0.0,0.0,125.0,55.0,70.0,0.0,0.0,0.0,17.0,14.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1136.0,531.0,605.0,,
33.0,612.0,5761.0,635194.0,0.0,0.0,VILLAGE,Sikkamanaickenpatti,Rural,559.0,1870.0,952.0,918.0,130.0,65.0,65.0,205.0,106.0,99.0,0.0,0.0,0.0,1125.0,668.0,457.0,745.0,284.0,461.0,1221.0,633.0,588.0,1186.0,615.0,571.0,527.0,285.0,242.0,576.0,276.0,300.0,12.0,9.0,3.0,71.0,45.0,26.0,35.0,18.0,17.0,4.0,2.0,2.0,20.0,10.0,10.0,0.0,0.0,0.0,11.0,6.0,5.0,34.0,17.0,17.0,4.0,2.0,2.0,19.0,9.0,10.0,0.0,0.0,0.0,11.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,319.0,330.0,,
33.0,612.0,5761.0,635195.0,0.0,0.0,VILLAGE,Pottikampatti,Rural,314.0,942.0,476.0,466.0,74.0,38.0,36.0,81.0,38.0,43.0,0.0,0.0,0.0,568.0,353.0,215.0,374.0,123.0,251.0,619.0,297.0,322.0,581.0,284.0,297.0,334.0,166.0,168.0,176.0,59.0,117.0,4.0,4.0,0.0,67.0,55.0,12.0,38.0,13.0,25.0,13.0,5.0,8.0,22.0,6.0,16.0,0.0,0.0,0.0,3.0,2.0,1.0,20.0,7.0,13.0,8.0,2.0,6.0,10.0,3.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0,6.0,12.0,5.0,3.0,2.0,12.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,323.0,179.0,144.0,,
33.0,612.0,5761.0,635196.0,0.0,0.0,VILLAGE,Mandavadi,Rural,863.0,2847.0,1436.0,1411.0,255.0,136.0,119.0,657.0,324.0,333.0,0.0,0.0,0.0,1771.0,1048.0,723.0,1076.0,388.0,688.0,1831.0,957.0,874.0,1816.0,952.0,864.0,665.0,405.0,260.0,938.0,390.0,548.0,17.0,12.0,5.0,196.0,145.0,51.0,15.0,5.0,10.0,1.0,0.0,1.0,11.0,2.0,9.0,0.0,0.0,0.0,3.0,3.0,0.0,11.0,5.0,6.0,1.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,479.0,537.0,,
33.0,612.0,5761.0,635197.0,0.0,0.0,VILLAGE,Navakani,Rural,216.0,727.0,362.0,365.0,45.0,25.0,20.0,182.0,84.0,98.0,0.0,0.0,0.0,412.0,248.0,164.0,315.0,114.0,201.0,450.0,256.0,194.0,449.0,255.0,194.0,263.0,154.0,109.0,151.0,72.0,79.0,1.0,1.0,0.0,34.0,28.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,106.0,171.0,,
33.0,612.0,5761.0,635198.0,0.0,0.0,VILLAGE,Odaipatty,Rural,1219.0,4348.0,2192.0,2156.0,304.0,172.0,132.0,715.0,345.0,370.0,0.0,0.0,0.0,2812.0,1694.0,1118.0,1536.0,498.0,1038.0,3014.0,1551.0,1463.0,2878.0,1502.0,1376.0,1671.0,889.0,782.0,790.0,353.0,437.0,97.0,55.0,42.0,320.0,205.0,115.0,136.0,49.0,87.0,19.0,4.0,15.0,68.0,20.0,48.0,7.0,2.0,5.0,42.0,23.0,19.0,117.0,44.0,73.0,14.0,3.0,11.0,63.0,19.0,44.0,1.0,0.0,1.0,39.0,22.0,17.0,19.0,5.0,14.0,5.0,1.0,4.0,5.0,1.0,4.0,6.0,2.0,4.0,3.0,1.0,2.0,1334.0,641.0,693.0,,
33.0,612.0,5761.0,635199.0,0.0,0.0,VILLAGE,Kuthiluppai,Rural,492.0,1503.0,725.0,778.0,88.0,44.0,44.0,465.0,231.0,234.0,0.0,0.0,0.0,925.0,543.0,382.0,578.0,182.0,396.0,945.0,485.0,460.0,936.0,480.0,456.0,434.0,233.0,201.0,404.0,172.0,232.0,18.0,14.0,4.0,80.0,61.0,19.0,9.0,5.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,8.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,558.0,240.0,318.0,,
33.0,612.0,5761.0,635200.0,0.0,0.0,VILLAGE,Idayakottai,Rural,1147.0,4222.0,2133.0,2089.0,353.0,186.0,167.0,873.0,452.0,421.0,5.0,3.0,2.0,2952.0,1650.0,1302.0,1270.0,483.0,787.0,2143.0,1286.0,857.0,1984.0,1219.0,765.0,473.0,279.0,194.0,898.0,427.0,471.0,25.0,15.0,10.0,588.0,498.0,90.0,159.0,67.0,92.0,7.0,1.0,6.0,122.0,48.0,74.0,5.0,0.0,5.0,25.0,18.0,7.0,141.0,57.0,84.0,7.0,1.0,6.0,109.0,40.0,69.0,3.0,0.0,3.0,22.0,16.0,6.0,18.0,10.0,8.0,0.0,0.0,0.0,13.0,8.0,5.0,2.0,0.0,2.0,3.0,2.0,1.0,2079.0,847.0,1232.0,,
