State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,628.0,0.0,0.0,0.0,0.0,DISTRICT,Tirunelveli ,Total,815528.0,3077233.0,1520912.0,1556321.0,321687.0,164157.0,157530.0,569714.0,279570.0,290144.0,10270.0,5109.0,5161.0,2273457.0,1210710.0,1062747.0,803776.0,310202.0,493574.0,1436454.0,876175.0,560279.0,1271407.0,791067.0,480340.0,107943.0,82180.0,25763.0,321083.0,193899.0,127184.0,215667.0,25943.0,189724.0,626714.0,489045.0,137669.0,165047.0,85108.0,79939.0,7772.0,4962.0,2810.0,58680.0,30717.0,27963.0,23997.0,3589.0,20408.0,74598.0,45840.0,28758.0,137467.0,71877.0,65590.0,6882.0,4412.0,2470.0,50419.0,26776.0,23643.0,18778.0,2750.0,16028.0,61388.0,37939.0,23449.0,27580.0,13231.0,14349.0,890.0,550.0,340.0,8261.0,3941.0,4320.0,5219.0,839.0,4380.0,13210.0,7901.0,5309.0,1640779.0,644737.0,996042.0,,
33.0,628.0,0.0,0.0,0.0,0.0,DISTRICT,Tirunelveli ,Rural,419057.0,1557004.0,768728.0,788276.0,167364.0,85353.0,82011.0,345247.0,169385.0,175862.0,3822.0,1923.0,1899.0,1100112.0,592979.0,507133.0,456892.0,175749.0,281143.0,793130.0,450874.0,342256.0,688776.0,398814.0,289962.0,86648.0,64676.0,21972.0,239121.0,140230.0,98891.0,124833.0,12893.0,111940.0,238174.0,181015.0,57159.0,104354.0,52060.0,52294.0,6675.0,4168.0,2507.0,45670.0,23506.0,22164.0,13600.0,2095.0,11505.0,38409.0,22291.0,16118.0,88047.0,44767.0,43280.0,5910.0,3709.0,2201.0,39099.0,20449.0,18650.0,10860.0,1619.0,9241.0,32178.0,18990.0,13188.0,16307.0,7293.0,9014.0,765.0,459.0,306.0,6571.0,3057.0,3514.0,2740.0,476.0,2264.0,6231.0,3301.0,2930.0,763874.0,317854.0,446020.0,,
33.0,628.0,0.0,0.0,0.0,0.0,DISTRICT,Tirunelveli ,Urban,396471.0,1520229.0,752184.0,768045.0,154323.0,78804.0,75519.0,224467.0,110185.0,114282.0,6448.0,3186.0,3262.0,1173345.0,617731.0,555614.0,346884.0,134453.0,212431.0,643324.0,425301.0,218023.0,582631.0,392253.0,190378.0,21295.0,17504.0,3791.0,81962.0,53669.0,28293.0,90834.0,13050.0,77784.0,388540.0,308030.0,80510.0,60693.0,33048.0,27645.0,1097.0,794.0,303.0,13010.0,7211.0,5799.0,10397.0,1494.0,8903.0,36189.0,23549.0,12640.0,49420.0,27110.0,22310.0,972.0,703.0,269.0,11320.0,6327.0,4993.0,7918.0,1131.0,6787.0,29210.0,18949.0,10261.0,11273.0,5938.0,5335.0,125.0,91.0,34.0,1690.0,884.0,806.0,2479.0,363.0,2116.0,6979.0,4600.0,2379.0,876905.0,326883.0,550022.0,,
33.0,628.0,5870.0,0.0,0.0,0.0,SUB-DISTRICT,Sivagiri,Total,54421.0,194156.0,95537.0,98619.0,19341.0,9781.0,9560.0,47215.0,22928.0,24287.0,930.0,464.0,466.0,128637.0,71528.0,57109.0,65519.0,24009.0,41510.0,97199.0,55845.0,41354.0,86715.0,50835.0,35880.0,6273.0,4285.0,1988.0,35593.0,18472.0,17121.0,9772.0,1989.0,7783.0,35077.0,26089.0,8988.0,10484.0,5010.0,5474.0,329.0,184.0,145.0,5141.0,2310.0,2831.0,900.0,175.0,725.0,4114.0,2341.0,1773.0,9059.0,4381.0,4678.0,294.0,161.0,133.0,4623.0,2152.0,2471.0,697.0,138.0,559.0,3445.0,1930.0,1515.0,1425.0,629.0,796.0,35.0,23.0,12.0,518.0,158.0,360.0,203.0,37.0,166.0,669.0,411.0,258.0,96957.0,39692.0,57265.0,,
33.0,628.0,5870.0,0.0,0.0,0.0,SUB-DISTRICT,Sivagiri,Rural,21313.0,72498.0,35269.0,37229.0,7243.0,3645.0,3598.0,24601.0,11827.0,12774.0,108.0,53.0,55.0,46185.0,25783.0,20402.0,26313.0,9486.0,16827.0,39312.0,21060.0,18252.0,34922.0,19125.0,15797.0,4517.0,2931.0,1586.0,19826.0,9752.0,10074.0,1966.0,542.0,1424.0,8613.0,5900.0,2713.0,4390.0,1935.0,2455.0,210.0,104.0,106.0,2790.0,1198.0,1592.0,185.0,45.0,140.0,1205.0,588.0,617.0,3832.0,1746.0,2086.0,188.0,92.0,96.0,2421.0,1088.0,1333.0,138.0,35.0,103.0,1085.0,531.0,554.0,558.0,189.0,369.0,22.0,12.0,10.0,369.0,110.0,259.0,47.0,10.0,37.0,120.0,57.0,63.0,33186.0,14209.0,18977.0,,
33.0,628.0,5870.0,0.0,0.0,0.0,SUB-DISTRICT,Sivagiri,Urban,33108.0,121658.0,60268.0,61390.0,12098.0,6136.0,5962.0,22614.0,11101.0,11513.0,822.0,411.0,411.0,82452.0,45745.0,36707.0,39206.0,14523.0,24683.0,57887.0,34785.0,23102.0,51793.0,31710.0,20083.0,1756.0,1354.0,402.0,15767.0,8720.0,7047.0,7806.0,1447.0,6359.0,26464.0,20189.0,6275.0,6094.0,3075.0,3019.0,119.0,80.0,39.0,2351.0,1112.0,1239.0,715.0,130.0,585.0,2909.0,1753.0,1156.0,5227.0,2635.0,2592.0,106.0,69.0,37.0,2202.0,1064.0,1138.0,559.0,103.0,456.0,2360.0,1399.0,961.0,867.0,440.0,427.0,13.0,11.0,2.0,149.0,48.0,101.0,156.0,27.0,129.0,549.0,354.0,195.0,63771.0,25483.0,38288.0,,
33.0,628.0,5870.0,642619.0,0.0,0.0,VILLAGE,Viswanathapperi ,Rural,3105.0,10483.0,5059.0,5424.0,1113.0,548.0,565.0,4679.0,2249.0,2430.0,15.0,7.0,8.0,6783.0,3672.0,3111.0,3700.0,1387.0,2313.0,5877.0,3120.0,2757.0,5297.0,2870.0,2427.0,755.0,428.0,327.0,2819.0,1375.0,1444.0,148.0,44.0,104.0,1575.0,1023.0,552.0,580.0,250.0,330.0,22.0,7.0,15.0,417.0,183.0,234.0,29.0,5.0,24.0,112.0,55.0,57.0,546.0,241.0,305.0,18.0,6.0,12.0,399.0,179.0,220.0,25.0,3.0,22.0,104.0,53.0,51.0,34.0,9.0,25.0,4.0,1.0,3.0,18.0,4.0,14.0,4.0,2.0,2.0,8.0,2.0,6.0,4606.0,1939.0,2667.0,,
33.0,628.0,5870.0,642620.0,0.0,0.0,VILLAGE,Inam Kovilpatti,Rural,504.0,1747.0,872.0,875.0,178.0,92.0,86.0,566.0,290.0,276.0,0.0,0.0,0.0,1130.0,647.0,483.0,617.0,225.0,392.0,1192.0,628.0,564.0,1007.0,525.0,482.0,436.0,217.0,219.0,182.0,82.0,100.0,122.0,57.0,65.0,267.0,169.0,98.0,185.0,103.0,82.0,12.0,6.0,6.0,9.0,6.0,3.0,4.0,3.0,1.0,160.0,88.0,72.0,171.0,99.0,72.0,9.0,5.0,4.0,7.0,5.0,2.0,4.0,3.0,1.0,151.0,86.0,65.0,14.0,4.0,10.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,7.0,555.0,244.0,311.0,,
33.0,628.0,5870.0,642621.0,0.0,0.0,VILLAGE,Rayagiri ,Rural,389.0,1342.0,657.0,685.0,117.0,55.0,62.0,280.0,143.0,137.0,0.0,0.0,0.0,861.0,466.0,395.0,481.0,191.0,290.0,711.0,397.0,314.0,449.0,270.0,179.0,57.0,48.0,9.0,266.0,168.0,98.0,43.0,0.0,43.0,83.0,54.0,29.0,262.0,127.0,135.0,4.0,4.0,0.0,171.0,78.0,93.0,5.0,1.0,4.0,82.0,44.0,38.0,258.0,125.0,133.0,4.0,4.0,0.0,171.0,78.0,93.0,3.0,0.0,3.0,80.0,43.0,37.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,631.0,260.0,371.0,,
33.0,628.0,5870.0,642622.0,0.0,0.0,VILLAGE,Thenmalai ,Rural,3060.0,10283.0,4983.0,5300.0,1002.0,478.0,524.0,1889.0,893.0,996.0,0.0,0.0,0.0,6724.0,3793.0,2931.0,3559.0,1190.0,2369.0,5777.0,3097.0,2680.0,5522.0,3009.0,2513.0,557.0,368.0,189.0,2804.0,1282.0,1522.0,193.0,49.0,144.0,1968.0,1310.0,658.0,255.0,88.0,167.0,16.0,7.0,9.0,164.0,53.0,111.0,20.0,5.0,15.0,55.0,23.0,32.0,204.0,74.0,130.0,14.0,6.0,8.0,126.0,46.0,80.0,17.0,3.0,14.0,47.0,19.0,28.0,51.0,14.0,37.0,2.0,1.0,1.0,38.0,7.0,31.0,3.0,2.0,1.0,8.0,4.0,4.0,4506.0,1886.0,2620.0,,
33.0,628.0,5870.0,642623.0,0.0,0.0,VILLAGE,Gudalur ,Rural,1098.0,3662.0,1794.0,1868.0,378.0,208.0,170.0,853.0,411.0,442.0,0.0,0.0,0.0,2074.0,1182.0,892.0,1588.0,612.0,976.0,2072.0,1041.0,1031.0,1958.0,987.0,971.0,200.0,105.0,95.0,1392.0,659.0,733.0,27.0,11.0,16.0,339.0,212.0,127.0,114.0,54.0,60.0,2.0,2.0,0.0,55.0,26.0,29.0,17.0,8.0,9.0,40.0,18.0,22.0,105.0,48.0,57.0,0.0,0.0,0.0,49.0,22.0,27.0,17.0,8.0,9.0,39.0,18.0,21.0,9.0,6.0,3.0,2.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1590.0,753.0,837.0,,
33.0,628.0,5870.0,642624.0,0.0,0.0,VILLAGE,Ramanathapuram,Rural,1716.0,5669.0,2767.0,2902.0,550.0,277.0,273.0,1770.0,829.0,941.0,0.0,0.0,0.0,4063.0,2231.0,1832.0,1606.0,536.0,1070.0,3071.0,1616.0,1455.0,2994.0,1577.0,1417.0,153.0,114.0,39.0,1536.0,801.0,735.0,448.0,22.0,426.0,857.0,640.0,217.0,77.0,39.0,38.0,6.0,2.0,4.0,12.0,4.0,8.0,12.0,0.0,12.0,47.0,33.0,14.0,65.0,32.0,33.0,5.0,1.0,4.0,9.0,3.0,6.0,11.0,0.0,11.0,40.0,28.0,12.0,12.0,7.0,5.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,7.0,5.0,2.0,2598.0,1151.0,1447.0,,
33.0,628.0,5870.0,642625.0,0.0,0.0,VILLAGE,Tirumalapuram,Rural,1244.0,4525.0,2218.0,2307.0,455.0,219.0,236.0,2119.0,1024.0,1095.0,0.0,0.0,0.0,3035.0,1681.0,1354.0,1490.0,537.0,953.0,2410.0,1300.0,1110.0,2327.0,1272.0,1055.0,242.0,154.0,88.0,1744.0,898.0,846.0,31.0,11.0,20.0,310.0,209.0,101.0,83.0,28.0,55.0,1.0,0.0,1.0,49.0,9.0,40.0,7.0,2.0,5.0,26.0,17.0,9.0,78.0,25.0,53.0,1.0,0.0,1.0,49.0,9.0,40.0,4.0,1.0,3.0,24.0,15.0,9.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,0.0,2115.0,918.0,1197.0,,
33.0,628.0,5870.0,642626.0,0.0,0.0,VILLAGE,Naranapuram ,Rural,1537.0,5197.0,2565.0,2632.0,552.0,304.0,248.0,2266.0,1110.0,1156.0,0.0,0.0,0.0,2828.0,1596.0,1232.0,2369.0,969.0,1400.0,2851.0,1504.0,1347.0,2461.0,1334.0,1127.0,148.0,111.0,37.0,1936.0,973.0,963.0,66.0,12.0,54.0,311.0,238.0,73.0,390.0,170.0,220.0,34.0,20.0,14.0,308.0,126.0,182.0,11.0,4.0,7.0,37.0,20.0,17.0,333.0,149.0,184.0,28.0,15.0,13.0,265.0,115.0,150.0,6.0,2.0,4.0,34.0,17.0,17.0,57.0,21.0,36.0,6.0,5.0,1.0,43.0,11.0,32.0,5.0,2.0,3.0,3.0,3.0,0.0,2346.0,1061.0,1285.0,,
33.0,628.0,5870.0,642627.0,0.0,0.0,VILLAGE,Nelkattum Seval,Rural,1940.0,6493.0,3077.0,3416.0,599.0,307.0,292.0,1717.0,813.0,904.0,0.0,0.0,0.0,3835.0,2163.0,1672.0,2658.0,914.0,1744.0,3511.0,1793.0,1718.0,3191.0,1660.0,1531.0,487.0,330.0,157.0,2079.0,935.0,1144.0,99.0,29.0,70.0,526.0,366.0,160.0,320.0,133.0,187.0,6.0,3.0,3.0,247.0,96.0,151.0,11.0,1.0,10.0,56.0,33.0,23.0,280.0,119.0,161.0,6.0,3.0,3.0,231.0,94.0,137.0,7.0,0.0,7.0,36.0,22.0,14.0,40.0,14.0,26.0,0.0,0.0,0.0,16.0,2.0,14.0,4.0,1.0,3.0,20.0,11.0,9.0,2982.0,1284.0,1698.0,,
33.0,628.0,5870.0,642628.0,0.0,0.0,VILLAGE,Sanganapperi,Rural,310.0,1109.0,540.0,569.0,120.0,57.0,63.0,974.0,481.0,493.0,0.0,0.0,0.0,815.0,433.0,382.0,294.0,107.0,187.0,666.0,335.0,331.0,629.0,320.0,309.0,15.0,12.0,3.0,539.0,259.0,280.0,2.0,1.0,1.0,73.0,48.0,25.0,37.0,15.0,22.0,0.0,0.0,0.0,34.0,13.0,21.0,0.0,0.0,0.0,3.0,2.0,1.0,32.0,15.0,17.0,0.0,0.0,0.0,29.0,13.0,16.0,0.0,0.0,0.0,3.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,205.0,238.0,,
33.0,628.0,5870.0,642629.0,0.0,0.0,VILLAGE,Subramanyapuram,Rural,1379.0,4777.0,2285.0,2492.0,481.0,239.0,242.0,2542.0,1200.0,1342.0,0.0,0.0,0.0,2897.0,1617.0,1280.0,1880.0,668.0,1212.0,2642.0,1347.0,1295.0,2458.0,1273.0,1185.0,229.0,133.0,96.0,1603.0,829.0,774.0,41.0,9.0,32.0,585.0,302.0,283.0,184.0,74.0,110.0,2.0,1.0,1.0,40.0,22.0,18.0,2.0,0.0,2.0,140.0,51.0,89.0,177.0,70.0,107.0,2.0,1.0,1.0,37.0,21.0,16.0,2.0,0.0,2.0,136.0,48.0,88.0,7.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,2135.0,938.0,1197.0,,
33.0,628.0,5870.0,642630.0,0.0,0.0,VILLAGE,Darukapuram,Rural,344.0,1187.0,585.0,602.0,117.0,56.0,61.0,408.0,189.0,219.0,0.0,0.0,0.0,817.0,445.0,372.0,370.0,140.0,230.0,601.0,343.0,258.0,270.0,198.0,72.0,12.0,7.0,5.0,89.0,64.0,25.0,65.0,43.0,22.0,104.0,84.0,20.0,331.0,145.0,186.0,10.0,6.0,4.0,295.0,123.0,172.0,15.0,8.0,7.0,11.0,8.0,3.0,151.0,77.0,74.0,8.0,5.0,3.0,120.0,56.0,64.0,13.0,8.0,5.0,10.0,8.0,2.0,180.0,68.0,112.0,2.0,1.0,1.0,175.0,67.0,108.0,2.0,0.0,2.0,1.0,0.0,1.0,586.0,242.0,344.0,,
33.0,628.0,5870.0,642631.0,0.0,0.0,VILLAGE,Pattakurichi,Rural,140.0,426.0,204.0,222.0,28.0,12.0,16.0,181.0,84.0,97.0,0.0,0.0,0.0,237.0,147.0,90.0,189.0,57.0,132.0,221.0,116.0,105.0,196.0,103.0,93.0,52.0,29.0,23.0,106.0,52.0,54.0,11.0,7.0,4.0,27.0,15.0,12.0,25.0,13.0,12.0,0.0,0.0,0.0,11.0,3.0,8.0,1.0,1.0,0.0,13.0,9.0,4.0,16.0,5.0,11.0,0.0,0.0,0.0,11.0,3.0,8.0,0.0,0.0,0.0,5.0,2.0,3.0,9.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,7.0,1.0,205.0,88.0,117.0,,
33.0,628.0,5870.0,642632.0,0.0,0.0,VILLAGE,Ariyur,Rural,217.0,733.0,351.0,382.0,77.0,40.0,37.0,60.0,29.0,31.0,0.0,0.0,0.0,495.0,283.0,212.0,238.0,68.0,170.0,396.0,201.0,195.0,77.0,3.0,74.0,1.0,0.0,1.0,74.0,3.0,71.0,1.0,0.0,1.0,1.0,0.0,1.0,319.0,198.0,121.0,29.0,11.0,18.0,289.0,187.0,102.0,1.0,0.0,1.0,0.0,0.0,0.0,319.0,198.0,121.0,29.0,11.0,18.0,289.0,187.0,102.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,150.0,187.0,,
33.0,628.0,5870.0,642633.0,0.0,0.0,VILLAGE,Nagaram,Rural,699.0,2325.0,1140.0,1185.0,223.0,116.0,107.0,808.0,384.0,424.0,0.0,0.0,0.0,1637.0,908.0,729.0,688.0,232.0,456.0,1266.0,675.0,591.0,1137.0,617.0,520.0,92.0,69.0,23.0,426.0,233.0,193.0,259.0,40.0,219.0,360.0,275.0,85.0,129.0,58.0,71.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,1.0,4.0,114.0,52.0,62.0,125.0,57.0,68.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,112.0,51.0,61.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1059.0,465.0,594.0,,
33.0,628.0,5870.0,642634.0,0.0,0.0,VILLAGE,Malayadikkurichi,Rural,619.0,2177.0,1107.0,1070.0,194.0,106.0,88.0,410.0,202.0,208.0,0.0,0.0,0.0,1554.0,884.0,670.0,623.0,223.0,400.0,820.0,639.0,181.0,758.0,609.0,149.0,289.0,203.0,86.0,10.0,5.0,5.0,193.0,175.0,18.0,266.0,226.0,40.0,62.0,30.0,32.0,6.0,2.0,4.0,26.0,13.0,13.0,4.0,0.0,4.0,26.0,15.0,11.0,59.0,30.0,29.0,6.0,2.0,4.0,25.0,13.0,12.0,2.0,0.0,2.0,26.0,15.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1357.0,468.0,889.0,,
33.0,628.0,5870.0,642635.0,0.0,0.0,VILLAGE,Talaivankottai ,Rural,1819.0,6470.0,3171.0,3299.0,624.0,307.0,317.0,1661.0,822.0,839.0,0.0,0.0,0.0,4181.0,2360.0,1821.0,2289.0,811.0,1478.0,3044.0,1821.0,1223.0,2889.0,1753.0,1136.0,439.0,325.0,114.0,1607.0,838.0,769.0,142.0,25.0,117.0,701.0,565.0,136.0,155.0,68.0,87.0,12.0,6.0,6.0,48.0,21.0,27.0,12.0,0.0,12.0,83.0,41.0,42.0,119.0,62.0,57.0,10.0,6.0,4.0,39.0,19.0,20.0,4.0,0.0,4.0,66.0,37.0,29.0,36.0,6.0,30.0,2.0,0.0,2.0,9.0,2.0,7.0,8.0,0.0,8.0,17.0,4.0,13.0,3426.0,1350.0,2076.0,,
33.0,628.0,5870.0,642636.0,0.0,0.0,VILLAGE,Ramaswamipuram,Rural,1167.0,3800.0,1848.0,1952.0,413.0,213.0,200.0,1418.0,674.0,744.0,0.0,0.0,0.0,2169.0,1254.0,915.0,1631.0,594.0,1037.0,2133.0,1063.0,1070.0,1282.0,735.0,547.0,353.0,278.0,75.0,595.0,286.0,309.0,75.0,7.0,68.0,259.0,164.0,95.0,851.0,328.0,523.0,17.0,12.0,5.0,605.0,231.0,374.0,29.0,6.0,23.0,200.0,79.0,121.0,763.0,306.0,457.0,17.0,12.0,5.0,555.0,221.0,334.0,19.0,6.0,13.0,172.0,67.0,105.0,88.0,22.0,66.0,0.0,0.0,0.0,50.0,10.0,40.0,10.0,0.0,10.0,28.0,12.0,16.0,1667.0,785.0,882.0,,
33.0,628.0,5870.0,642637.0,0.0,0.0,VILLAGE,Alangulam,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
33.0,628.0,5870.0,642638.0,0.0,0.0,VILLAGE, Sivagiri Reserve Forest ,Rural,26.0,93.0,46.0,47.0,22.0,11.0,11.0,0.0,0.0,0.0,93.0,46.0,47.0,50.0,21.0,29.0,43.0,25.0,18.0,51.0,24.0,27.0,20.0,10.0,10.0,0.0,0.0,0.0,19.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,14.0,17.0,26.0,12.0,14.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,14.0,17.0,26.0,12.0,14.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,22.0,20.0,,
33.0,628.0,5870.0,803836.0,0.0,0.0,TOWN,Sivagiri (TP),Urban,6796.0,23040.0,11399.0,11641.0,2181.0,1132.0,1049.0,4223.0,2080.0,2143.0,105.0,48.0,57.0,14535.0,8206.0,6329.0,8505.0,3193.0,5312.0,11498.0,6793.0,4705.0,9219.0,5729.0,3490.0,273.0,229.0,44.0,4510.0,2471.0,2039.0,351.0,67.0,284.0,4085.0,2962.0,1123.0,2279.0,1064.0,1215.0,23.0,18.0,5.0,1348.0,618.0,730.0,223.0,62.0,161.0,685.0,366.0,319.0,2034.0,945.0,1089.0,17.0,13.0,4.0,1300.0,601.0,699.0,188.0,53.0,135.0,529.0,278.0,251.0,245.0,119.0,126.0,6.0,5.0,1.0,48.0,17.0,31.0,35.0,9.0,26.0,156.0,88.0,68.0,11542.0,4606.0,6936.0,,
33.0,628.0,5870.0,803836.0,1.0,0.0,WARD,Sivagiri (TP) WARD NO.-0001,Urban,381.0,1278.0,621.0,657.0,138.0,76.0,62.0,1.0,0.0,1.0,0.0,0.0,0.0,547.0,304.0,243.0,731.0,317.0,414.0,652.0,374.0,278.0,442.0,271.0,171.0,11.0,10.0,1.0,239.0,131.0,108.0,26.0,4.0,22.0,166.0,126.0,40.0,210.0,103.0,107.0,0.0,0.0,0.0,176.0,92.0,84.0,2.0,1.0,1.0,32.0,10.0,22.0,207.0,102.0,105.0,0.0,0.0,0.0,175.0,91.0,84.0,1.0,1.0,0.0,31.0,10.0,21.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,626.0,247.0,379.0,,
33.0,628.0,5870.0,803836.0,2.0,0.0,WARD,Sivagiri (TP) WARD NO.-0002,Urban,364.0,1163.0,571.0,592.0,120.0,57.0,63.0,2.0,1.0,1.0,0.0,0.0,0.0,663.0,366.0,297.0,500.0,205.0,295.0,577.0,341.0,236.0,421.0,280.0,141.0,24.0,22.0,2.0,190.0,127.0,63.0,48.0,3.0,45.0,159.0,128.0,31.0,156.0,61.0,95.0,0.0,0.0,0.0,139.0,60.0,79.0,8.0,0.0,8.0,9.0,1.0,8.0,153.0,60.0,93.0,0.0,0.0,0.0,137.0,59.0,78.0,8.0,0.0,8.0,8.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,586.0,230.0,356.0,,
33.0,628.0,5870.0,803836.0,3.0,0.0,WARD,Sivagiri (TP) WARD NO.-0003,Urban,369.0,1263.0,642.0,621.0,135.0,75.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,796.0,453.0,343.0,467.0,189.0,278.0,603.0,386.0,217.0,498.0,340.0,158.0,4.0,4.0,0.0,22.0,10.0,12.0,23.0,10.0,13.0,449.0,316.0,133.0,105.0,46.0,59.0,1.0,0.0,1.0,84.0,36.0,48.0,10.0,3.0,7.0,10.0,7.0,3.0,105.0,46.0,59.0,1.0,0.0,1.0,84.0,36.0,48.0,10.0,3.0,7.0,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.0,256.0,404.0,,
33.0,628.0,5870.0,803836.0,4.0,0.0,WARD,Sivagiri (TP) WARD NO.-0004,Urban,267.0,933.0,458.0,475.0,85.0,37.0,48.0,157.0,79.0,78.0,6.0,4.0,2.0,588.0,333.0,255.0,345.0,125.0,220.0,452.0,282.0,170.0,440.0,278.0,162.0,3.0,2.0,1.0,139.0,68.0,71.0,20.0,5.0,15.0,278.0,203.0,75.0,12.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,7.0,12.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,176.0,305.0,,
33.0,628.0,5870.0,803836.0,5.0,0.0,WARD,Sivagiri (TP) WARD NO.-0005,Urban,313.0,1125.0,544.0,581.0,107.0,60.0,47.0,5.0,3.0,2.0,0.0,0.0,0.0,833.0,428.0,405.0,292.0,116.0,176.0,418.0,304.0,114.0,413.0,302.0,111.0,16.0,12.0,4.0,100.0,59.0,41.0,8.0,3.0,5.0,289.0,228.0,61.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,240.0,467.0,,
