State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,611.0,5755.0,803561.0,10.0,0.0,WARD,O' Valley (TP) WARD NO.-0010,Urban,257.0,1167.0,577.0,590.0,100.0,50.0,50.0,623.0,308.0,315.0,0.0,0.0,0.0,979.0,507.0,472.0,188.0,70.0,118.0,568.0,318.0,250.0,550.0,310.0,240.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,547.0,309.0,238.0,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,8.0,10.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,6.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,599.0,259.0,340.0,,
33.0,611.0,5755.0,803561.0,11.0,0.0,WARD,O' Valley (TP) WARD NO.-0011,Urban,261.0,1168.0,563.0,605.0,102.0,43.0,59.0,444.0,220.0,224.0,0.0,0.0,0.0,921.0,481.0,440.0,247.0,82.0,165.0,522.0,309.0,213.0,519.0,306.0,213.0,0.0,0.0,0.0,194.0,100.0,94.0,3.0,1.0,2.0,322.0,205.0,117.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,646.0,254.0,392.0,,
33.0,611.0,5755.0,803561.0,12.0,0.0,WARD,O' Valley (TP) WARD NO.-0012,Urban,209.0,774.0,383.0,391.0,63.0,30.0,33.0,563.0,290.0,273.0,0.0,0.0,0.0,575.0,319.0,256.0,199.0,64.0,135.0,374.0,209.0,165.0,266.0,161.0,105.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,263.0,159.0,104.0,108.0,48.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,107.0,48.0,59.0,108.0,48.0,60.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,107.0,48.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,174.0,226.0,,
33.0,611.0,5755.0,803561.0,13.0,0.0,WARD,O' Valley (TP) WARD NO.-0013,Urban,102.0,384.0,191.0,193.0,17.0,7.0,10.0,316.0,155.0,161.0,0.0,0.0,0.0,286.0,164.0,122.0,98.0,27.0,71.0,200.0,107.0,93.0,122.0,59.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,121.0,58.0,63.0,78.0,48.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,48.0,30.0,71.0,46.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,46.0,25.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,184.0,84.0,100.0,,
33.0,611.0,5755.0,803561.0,14.0,0.0,WARD,O' Valley (TP) WARD NO.-0014,Urban,202.0,767.0,352.0,415.0,70.0,35.0,35.0,358.0,165.0,193.0,0.0,0.0,0.0,566.0,284.0,282.0,201.0,68.0,133.0,341.0,190.0,151.0,98.0,63.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,63.0,35.0,243.0,127.0,116.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,241.0,126.0,115.0,242.0,126.0,116.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,240.0,125.0,115.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,426.0,162.0,264.0,,
33.0,611.0,5755.0,803561.0,15.0,0.0,WARD,O' Valley (TP) WARD NO.-0015,Urban,213.0,768.0,377.0,391.0,72.0,36.0,36.0,126.0,66.0,60.0,0.0,0.0,0.0,609.0,319.0,290.0,159.0,58.0,101.0,343.0,227.0,116.0,259.0,185.0,74.0,0.0,0.0,0.0,7.0,3.0,4.0,2.0,2.0,0.0,250.0,180.0,70.0,84.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,83.0,42.0,41.0,74.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,73.0,34.0,39.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,425.0,150.0,275.0,,
33.0,611.0,5755.0,803561.0,16.0,0.0,WARD,O' Valley (TP) WARD NO.-0016,Urban,175.0,932.0,453.0,479.0,127.0,74.0,53.0,128.0,66.0,62.0,7.0,2.0,5.0,684.0,342.0,342.0,248.0,111.0,137.0,296.0,207.0,89.0,192.0,143.0,49.0,6.0,5.0,1.0,32.0,23.0,9.0,12.0,10.0,2.0,142.0,105.0,37.0,104.0,64.0,40.0,1.0,0.0,1.0,89.0,57.0,32.0,5.0,0.0,5.0,9.0,7.0,2.0,93.0,58.0,35.0,1.0,0.0,1.0,78.0,51.0,27.0,5.0,0.0,5.0,9.0,7.0,2.0,11.0,6.0,5.0,0.0,0.0,0.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,246.0,390.0,,
33.0,611.0,5755.0,803561.0,17.0,0.0,WARD,O' Valley (TP) WARD NO.-0017,Urban,221.0,955.0,462.0,493.0,133.0,73.0,60.0,130.0,66.0,64.0,91.0,49.0,42.0,738.0,356.0,382.0,217.0,106.0,111.0,514.0,286.0,228.0,382.0,223.0,159.0,3.0,0.0,3.0,217.0,118.0,99.0,3.0,0.0,3.0,159.0,105.0,54.0,132.0,63.0,69.0,2.0,1.0,1.0,67.0,32.0,35.0,5.0,0.0,5.0,58.0,30.0,28.0,128.0,59.0,69.0,2.0,1.0,1.0,67.0,32.0,35.0,5.0,0.0,5.0,54.0,26.0,28.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,441.0,176.0,265.0,,
33.0,611.0,5755.0,803561.0,18.0,0.0,WARD,O' Valley (TP) WARD NO.-0018,Urban,299.0,1400.0,643.0,757.0,150.0,69.0,81.0,82.0,40.0,42.0,26.0,13.0,13.0,1216.0,566.0,650.0,184.0,77.0,107.0,509.0,306.0,203.0,398.0,253.0,145.0,3.0,2.0,1.0,94.0,48.0,46.0,1.0,0.0,1.0,300.0,203.0,97.0,111.0,53.0,58.0,1.0,0.0,1.0,35.0,17.0,18.0,0.0,0.0,0.0,75.0,36.0,39.0,89.0,45.0,44.0,1.0,0.0,1.0,20.0,13.0,7.0,0.0,0.0,0.0,68.0,32.0,36.0,22.0,8.0,14.0,0.0,0.0,0.0,15.0,4.0,11.0,0.0,0.0,0.0,7.0,4.0,3.0,891.0,337.0,554.0,,
33.0,611.0,5756.0,0.0,0.0,0.0,SUB-DISTRICT,Udhagamandalam,Total,52767.0,191960.0,93663.0,98297.0,16491.0,8184.0,8307.0,58334.0,28593.0,29741.0,6113.0,3024.0,3089.0,144806.0,76822.0,67984.0,47154.0,16841.0,30313.0,93947.0,57039.0,36908.0,86396.0,52941.0,33455.0,5667.0,3513.0,2154.0,33747.0,17265.0,16482.0,736.0,352.0,384.0,46246.0,31811.0,14435.0,7551.0,4098.0,3453.0,330.0,142.0,188.0,2826.0,1435.0,1391.0,139.0,47.0,92.0,4256.0,2474.0,1782.0,6873.0,3740.0,3133.0,303.0,132.0,171.0,2615.0,1342.0,1273.0,114.0,39.0,75.0,3841.0,2227.0,1614.0,678.0,358.0,320.0,27.0,10.0,17.0,211.0,93.0,118.0,25.0,8.0,17.0,415.0,247.0,168.0,98013.0,36624.0,61389.0,,
33.0,611.0,5756.0,0.0,0.0,0.0,SUB-DISTRICT,Udhagamandalam,Rural,24430.0,85280.0,41582.0,43698.0,7009.0,3441.0,3568.0,20617.0,10121.0,10496.0,4445.0,2208.0,2237.0,59724.0,32824.0,26900.0,25556.0,8758.0,16798.0,47911.0,26345.0,21566.0,44812.0,24811.0,20001.0,4644.0,2715.0,1929.0,24494.0,12344.0,12150.0,378.0,170.0,208.0,15296.0,9582.0,5714.0,3099.0,1534.0,1565.0,249.0,90.0,159.0,1613.0,777.0,836.0,63.0,24.0,39.0,1174.0,643.0,531.0,2892.0,1437.0,1455.0,228.0,83.0,145.0,1525.0,746.0,779.0,53.0,19.0,34.0,1086.0,589.0,497.0,207.0,97.0,110.0,21.0,7.0,14.0,88.0,31.0,57.0,10.0,5.0,5.0,88.0,54.0,34.0,37369.0,15237.0,22132.0,,
33.0,611.0,5756.0,0.0,0.0,0.0,SUB-DISTRICT,Udhagamandalam,Urban,28337.0,106680.0,52081.0,54599.0,9482.0,4743.0,4739.0,37717.0,18472.0,19245.0,1668.0,816.0,852.0,85082.0,43998.0,41084.0,21598.0,8083.0,13515.0,46036.0,30694.0,15342.0,41584.0,28130.0,13454.0,1023.0,798.0,225.0,9253.0,4921.0,4332.0,358.0,182.0,176.0,30950.0,22229.0,8721.0,4452.0,2564.0,1888.0,81.0,52.0,29.0,1213.0,658.0,555.0,76.0,23.0,53.0,3082.0,1831.0,1251.0,3981.0,2303.0,1678.0,75.0,49.0,26.0,1090.0,596.0,494.0,61.0,20.0,41.0,2755.0,1638.0,1117.0,471.0,261.0,210.0,6.0,3.0,3.0,123.0,62.0,61.0,15.0,3.0,12.0,327.0,193.0,134.0,60644.0,21387.0,39257.0,,
33.0,611.0,5756.0,635087.0,0.0,0.0,VILLAGE,Masinagudi,Rural,2393.0,8783.0,4345.0,4438.0,946.0,496.0,450.0,2271.0,1092.0,1179.0,1797.0,889.0,908.0,5965.0,3219.0,2746.0,2818.0,1126.0,1692.0,3559.0,2535.0,1024.0,3193.0,2318.0,875.0,125.0,87.0,38.0,634.0,376.0,258.0,88.0,47.0,41.0,2346.0,1808.0,538.0,366.0,217.0,149.0,3.0,1.0,2.0,262.0,157.0,105.0,16.0,9.0,7.0,85.0,50.0,35.0,348.0,210.0,138.0,3.0,1.0,2.0,260.0,157.0,103.0,14.0,8.0,6.0,71.0,44.0,27.0,18.0,7.0,11.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,14.0,6.0,8.0,5224.0,1810.0,3414.0,,
33.0,611.0,5756.0,635088.0,0.0,0.0,VILLAGE,Kadanad,Rural,2058.0,7080.0,3406.0,3674.0,463.0,214.0,249.0,794.0,377.0,417.0,169.0,84.0,85.0,5016.0,2792.0,2224.0,2064.0,614.0,1450.0,4255.0,2248.0,2007.0,4088.0,2166.0,1922.0,527.0,273.0,254.0,3198.0,1591.0,1607.0,22.0,18.0,4.0,341.0,284.0,57.0,167.0,82.0,85.0,16.0,6.0,10.0,86.0,33.0,53.0,4.0,1.0,3.0,61.0,42.0,19.0,163.0,80.0,83.0,16.0,6.0,10.0,85.0,33.0,52.0,2.0,0.0,2.0,60.0,41.0,19.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2825.0,1158.0,1667.0,,
33.0,611.0,5756.0,635089.0,0.0,0.0,VILLAGE,Ebbanad,Rural,1862.0,6233.0,3044.0,3189.0,486.0,247.0,239.0,649.0,351.0,298.0,510.0,251.0,259.0,4258.0,2424.0,1834.0,1975.0,620.0,1355.0,3263.0,1843.0,1420.0,2789.0,1608.0,1181.0,255.0,166.0,89.0,1351.0,697.0,654.0,4.0,2.0,2.0,1179.0,743.0,436.0,474.0,235.0,239.0,28.0,12.0,16.0,374.0,205.0,169.0,6.0,2.0,4.0,66.0,16.0,50.0,454.0,228.0,226.0,28.0,12.0,16.0,359.0,198.0,161.0,6.0,2.0,4.0,61.0,16.0,45.0,20.0,7.0,13.0,0.0,0.0,0.0,15.0,7.0,8.0,0.0,0.0,0.0,5.0,0.0,5.0,2970.0,1201.0,1769.0,,
33.0,611.0,5756.0,635090.0,0.0,0.0,VILLAGE,Kukkal,Rural,1528.0,5219.0,2523.0,2696.0,486.0,249.0,237.0,708.0,336.0,372.0,294.0,144.0,150.0,3550.0,1920.0,1630.0,1669.0,603.0,1066.0,3053.0,1634.0,1419.0,2968.0,1592.0,1376.0,216.0,142.0,74.0,1708.0,840.0,868.0,8.0,6.0,2.0,1036.0,604.0,432.0,85.0,42.0,43.0,7.0,1.0,6.0,41.0,21.0,20.0,2.0,1.0,1.0,35.0,19.0,16.0,62.0,29.0,33.0,6.0,0.0,6.0,40.0,20.0,20.0,2.0,1.0,1.0,14.0,8.0,6.0,23.0,13.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,11.0,10.0,2166.0,889.0,1277.0,,
33.0,611.0,5756.0,635091.0,0.0,0.0,VILLAGE,Kagguchi,Rural,3206.0,10986.0,5205.0,5781.0,982.0,460.0,522.0,3972.0,1937.0,2035.0,92.0,40.0,52.0,7293.0,3972.0,3321.0,3693.0,1233.0,2460.0,6569.0,3367.0,3202.0,6399.0,3322.0,3077.0,280.0,167.0,113.0,2160.0,1149.0,1011.0,16.0,5.0,11.0,3943.0,2001.0,1942.0,170.0,45.0,125.0,44.0,2.0,42.0,46.0,17.0,29.0,2.0,1.0,1.0,78.0,25.0,53.0,156.0,39.0,117.0,42.0,2.0,40.0,41.0,14.0,27.0,2.0,1.0,1.0,71.0,22.0,49.0,14.0,6.0,8.0,2.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,7.0,3.0,4.0,4417.0,1838.0,2579.0,,
33.0,611.0,5756.0,635092.0,0.0,0.0,VILLAGE,Thuneri,Rural,2090.0,7110.0,3526.0,3584.0,538.0,269.0,269.0,670.0,337.0,333.0,1.0,0.0,1.0,4784.0,2715.0,2069.0,2326.0,811.0,1515.0,4159.0,2204.0,1955.0,4068.0,2159.0,1909.0,911.0,512.0,399.0,2595.0,1229.0,1366.0,4.0,1.0,3.0,558.0,417.0,141.0,91.0,45.0,46.0,7.0,3.0,4.0,47.0,19.0,28.0,1.0,1.0,0.0,36.0,22.0,14.0,84.0,43.0,41.0,5.0,3.0,2.0,46.0,19.0,27.0,1.0,1.0,0.0,32.0,20.0,12.0,7.0,2.0,5.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,2951.0,1322.0,1629.0,,
33.0,611.0,5756.0,635093.0,0.0,0.0,VILLAGE,Hullathi,Rural,2593.0,9187.0,4543.0,4644.0,823.0,414.0,409.0,2424.0,1175.0,1249.0,944.0,487.0,457.0,6248.0,3494.0,2754.0,2939.0,1049.0,1890.0,5294.0,2883.0,2411.0,5067.0,2789.0,2278.0,448.0,283.0,165.0,3808.0,1875.0,1933.0,27.0,18.0,9.0,784.0,613.0,171.0,227.0,94.0,133.0,4.0,1.0,3.0,143.0,38.0,105.0,5.0,3.0,2.0,75.0,52.0,23.0,188.0,67.0,121.0,4.0,1.0,3.0,129.0,34.0,95.0,3.0,2.0,1.0,52.0,30.0,22.0,39.0,27.0,12.0,0.0,0.0,0.0,14.0,4.0,10.0,2.0,1.0,1.0,23.0,22.0,1.0,3893.0,1660.0,2233.0,,
33.0,611.0,5756.0,635094.0,0.0,0.0,VILLAGE,Nanjanad,Rural,3621.0,13007.0,6354.0,6653.0,1025.0,474.0,551.0,4144.0,2023.0,2121.0,460.0,225.0,235.0,9409.0,5088.0,4321.0,3598.0,1266.0,2332.0,7272.0,3985.0,3287.0,6545.0,3647.0,2898.0,785.0,502.0,283.0,4831.0,2431.0,2400.0,69.0,41.0,28.0,860.0,673.0,187.0,727.0,338.0,389.0,122.0,57.0,65.0,392.0,170.0,222.0,14.0,6.0,8.0,199.0,105.0,94.0,690.0,323.0,367.0,113.0,53.0,60.0,372.0,163.0,209.0,10.0,4.0,6.0,195.0,103.0,92.0,37.0,15.0,22.0,9.0,4.0,5.0,20.0,7.0,13.0,4.0,2.0,2.0,4.0,2.0,2.0,5735.0,2369.0,3366.0,,
33.0,611.0,5756.0,635095.0,0.0,0.0,VILLAGE,Udhagamandalam ,Rural,2419.0,8214.0,4097.0,4117.0,652.0,334.0,318.0,3587.0,1805.0,1782.0,178.0,88.0,90.0,6074.0,3305.0,2769.0,2140.0,792.0,1348.0,4577.0,2623.0,1954.0,4305.0,2478.0,1827.0,428.0,261.0,167.0,2957.0,1528.0,1429.0,24.0,3.0,21.0,896.0,686.0,210.0,272.0,145.0,127.0,9.0,2.0,7.0,209.0,108.0,101.0,7.0,0.0,7.0,47.0,35.0,12.0,236.0,131.0,105.0,7.0,2.0,5.0,181.0,99.0,82.0,7.0,0.0,7.0,41.0,30.0,11.0,36.0,14.0,22.0,2.0,0.0,2.0,28.0,9.0,19.0,0.0,0.0,0.0,6.0,5.0,1.0,3637.0,1474.0,2163.0,,
33.0,611.0,5756.0,635096.0,0.0,0.0,VILLAGE,Thummanatti,Rural,2660.0,9461.0,4539.0,4922.0,608.0,284.0,324.0,1398.0,688.0,710.0,0.0,0.0,0.0,7127.0,3895.0,3232.0,2334.0,644.0,1690.0,5910.0,3023.0,2887.0,5390.0,2732.0,2658.0,669.0,322.0,347.0,1252.0,628.0,624.0,116.0,29.0,87.0,3353.0,1753.0,1600.0,520.0,291.0,229.0,9.0,5.0,4.0,13.0,9.0,4.0,6.0,0.0,6.0,492.0,277.0,215.0,511.0,287.0,224.0,4.0,3.0,1.0,12.0,9.0,3.0,6.0,0.0,6.0,489.0,275.0,214.0,9.0,4.0,5.0,5.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,3551.0,1516.0,2035.0,,
33.0,611.0,5756.0,803562.0,0.0,0.0,TOWN,Sholur (TP),Urban,2762.0,9745.0,4750.0,4995.0,986.0,477.0,509.0,4948.0,2441.0,2507.0,1381.0,676.0,705.0,6482.0,3638.0,2844.0,3263.0,1112.0,2151.0,5402.0,2903.0,2499.0,4862.0,2597.0,2265.0,268.0,169.0,99.0,2697.0,1240.0,1457.0,31.0,20.0,11.0,1866.0,1168.0,698.0,540.0,306.0,234.0,14.0,10.0,4.0,331.0,175.0,156.0,10.0,2.0,8.0,185.0,119.0,66.0,481.0,271.0,210.0,12.0,8.0,4.0,322.0,169.0,153.0,4.0,1.0,3.0,143.0,93.0,50.0,59.0,35.0,24.0,2.0,2.0,0.0,9.0,6.0,3.0,6.0,1.0,5.0,42.0,26.0,16.0,4343.0,1847.0,2496.0,,
33.0,611.0,5756.0,803562.0,1.0,0.0,WARD,Sholur (TP) WARD NO.-0001,Urban,48.0,151.0,76.0,75.0,15.0,4.0,11.0,76.0,35.0,41.0,0.0,0.0,0.0,116.0,67.0,49.0,35.0,9.0,26.0,69.0,47.0,22.0,58.0,39.0,19.0,5.0,3.0,2.0,16.0,10.0,6.0,3.0,3.0,0.0,34.0,23.0,11.0,11.0,8.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,7.0,6.0,1.0,8.0,5.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,5.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,82.0,29.0,53.0,,
33.0,611.0,5756.0,803562.0,2.0,0.0,WARD,Sholur (TP) WARD NO.-0002,Urban,308.0,1173.0,579.0,594.0,114.0,52.0,62.0,1095.0,538.0,557.0,0.0,0.0,0.0,789.0,450.0,339.0,384.0,129.0,255.0,671.0,351.0,320.0,611.0,311.0,300.0,0.0,0.0,0.0,225.0,105.0,120.0,2.0,2.0,0.0,384.0,204.0,180.0,60.0,40.0,20.0,2.0,2.0,0.0,30.0,19.0,11.0,4.0,2.0,2.0,24.0,17.0,7.0,37.0,27.0,10.0,2.0,2.0,0.0,24.0,15.0,9.0,1.0,1.0,0.0,10.0,9.0,1.0,23.0,13.0,10.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,1.0,2.0,14.0,8.0,6.0,502.0,228.0,274.0,,
33.0,611.0,5756.0,803562.0,3.0,0.0,WARD,Sholur (TP) WARD NO.-0003,Urban,148.0,496.0,243.0,253.0,41.0,19.0,22.0,482.0,236.0,246.0,0.0,0.0,0.0,290.0,166.0,124.0,206.0,77.0,129.0,357.0,177.0,180.0,311.0,156.0,155.0,3.0,2.0,1.0,274.0,126.0,148.0,2.0,2.0,0.0,32.0,26.0,6.0,46.0,21.0,25.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,41.0,19.0,22.0,46.0,21.0,25.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,41.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,66.0,73.0,,
33.0,611.0,5756.0,803562.0,4.0,0.0,WARD,Sholur (TP) WARD NO.-0004,Urban,347.0,1283.0,634.0,649.0,194.0,97.0,97.0,112.0,54.0,58.0,1025.0,502.0,523.0,744.0,404.0,340.0,539.0,230.0,309.0,597.0,356.0,241.0,549.0,327.0,222.0,49.0,32.0,17.0,62.0,32.0,30.0,11.0,3.0,8.0,427.0,260.0,167.0,48.0,29.0,19.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,0.0,1.0,39.0,25.0,14.0,23.0,14.0,9.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,19.0,13.0,6.0,25.0,15.0,10.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,20.0,12.0,8.0,686.0,278.0,408.0,,
33.0,611.0,5756.0,803562.0,5.0,0.0,WARD,Sholur (TP) WARD NO.-0005,Urban,118.0,324.0,132.0,192.0,24.0,10.0,14.0,8.0,4.0,4.0,0.0,0.0,0.0,211.0,113.0,98.0,113.0,19.0,94.0,211.0,85.0,126.0,194.0,80.0,114.0,21.0,8.0,13.0,157.0,57.0,100.0,0.0,0.0,0.0,16.0,15.0,1.0,17.0,5.0,12.0,2.0,1.0,1.0,12.0,3.0,9.0,0.0,0.0,0.0,3.0,1.0,2.0,16.0,4.0,12.0,2.0,1.0,1.0,12.0,3.0,9.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,113.0,47.0,66.0,,
33.0,611.0,5756.0,803562.0,6.0,0.0,WARD,Sholur (TP) WARD NO.-0006,Urban,138.0,363.0,165.0,198.0,19.0,7.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,280.0,149.0,131.0,83.0,16.0,67.0,221.0,120.0,101.0,220.0,119.0,101.0,12.0,10.0,2.0,173.0,79.0,94.0,0.0,0.0,0.0,35.0,30.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,45.0,97.0,,
33.0,611.0,5756.0,803562.0,7.0,0.0,WARD,Sholur (TP) WARD NO.-0007,Urban,149.0,470.0,223.0,247.0,32.0,11.0,21.0,128.0,63.0,65.0,0.0,0.0,0.0,316.0,180.0,136.0,154.0,43.0,111.0,282.0,147.0,135.0,281.0,146.0,135.0,19.0,12.0,7.0,214.0,91.0,123.0,3.0,1.0,2.0,45.0,42.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,76.0,112.0,,
33.0,611.0,5756.0,803562.0,8.0,0.0,WARD,Sholur (TP) WARD NO.-0008,Urban,208.0,650.0,315.0,335.0,63.0,31.0,32.0,63.0,32.0,31.0,0.0,0.0,0.0,443.0,258.0,185.0,207.0,57.0,150.0,370.0,192.0,178.0,368.0,191.0,177.0,26.0,22.0,4.0,296.0,132.0,164.0,4.0,4.0,0.0,42.0,33.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,123.0,157.0,,
33.0,611.0,5756.0,803562.0,9.0,0.0,WARD,Sholur (TP) WARD NO.-0009,Urban,129.0,394.0,197.0,197.0,20.0,13.0,7.0,10.0,6.0,4.0,0.0,0.0,0.0,295.0,171.0,124.0,99.0,26.0,73.0,226.0,105.0,121.0,225.0,105.0,120.0,22.0,9.0,13.0,180.0,75.0,105.0,0.0,0.0,0.0,23.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,92.0,76.0,,
