State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,609.0,0.0,0.0,0.0,0.0,DISTRICT,Namakkal   ,Total,475511.0,1726601.0,869280.0,857321.0,150699.0,78754.0,71945.0,345392.0,173973.0,171419.0,57059.0,29383.0,27676.0,1176131.0,653312.0,522819.0,550470.0,215968.0,334502.0,898245.0,531463.0,366782.0,839152.0,505257.0,333895.0,152497.0,82157.0,70340.0,228614.0,102673.0,125941.0,35156.0,17783.0,17373.0,422885.0,302644.0,120241.0,59093.0,26206.0,32887.0,5976.0,2554.0,3422.0,25112.0,9206.0,15906.0,3641.0,1037.0,2604.0,24364.0,13409.0,10955.0,52305.0,23579.0,28726.0,5565.0,2394.0,3171.0,22872.0,8583.0,14289.0,2922.0,880.0,2042.0,20946.0,11722.0,9224.0,6788.0,2627.0,4161.0,411.0,160.0,251.0,2240.0,623.0,1617.0,719.0,157.0,562.0,3418.0,1687.0,1731.0,828356.0,337817.0,490539.0,,
33.0,609.0,0.0,0.0,0.0,0.0,DISTRICT,Namakkal   ,Rural,283248.0,1030476.0,520684.0,509792.0,88858.0,46845.0,42013.0,244098.0,122948.0,121150.0,55326.0,28491.0,26835.0,671793.0,380075.0,291718.0,358683.0,140609.0,218074.0,566406.0,315347.0,251059.0,523681.0,297000.0,226681.0,137573.0,73275.0,64298.0,187204.0,82360.0,104844.0,17158.0,8594.0,8564.0,181746.0,132771.0,48975.0,42725.0,18347.0,24378.0,5432.0,2268.0,3164.0,21656.0,7848.0,13808.0,2209.0,698.0,1511.0,13428.0,7533.0,5895.0,37987.0,16590.0,21397.0,5056.0,2127.0,2929.0,19763.0,7334.0,12429.0,1789.0,606.0,1183.0,11379.0,6523.0,4856.0,4738.0,1757.0,2981.0,376.0,141.0,235.0,1893.0,514.0,1379.0,420.0,92.0,328.0,2049.0,1010.0,1039.0,464070.0,205337.0,258733.0,,
33.0,609.0,0.0,0.0,0.0,0.0,DISTRICT,Namakkal   ,Urban,192263.0,696125.0,348596.0,347529.0,61841.0,31909.0,29932.0,101294.0,51025.0,50269.0,1733.0,892.0,841.0,504338.0,273237.0,231101.0,191787.0,75359.0,116428.0,331839.0,216116.0,115723.0,315471.0,208257.0,107214.0,14924.0,8882.0,6042.0,41410.0,20313.0,21097.0,17998.0,9189.0,8809.0,241139.0,169873.0,71266.0,16368.0,7859.0,8509.0,544.0,286.0,258.0,3456.0,1358.0,2098.0,1432.0,339.0,1093.0,10936.0,5876.0,5060.0,14318.0,6989.0,7329.0,509.0,267.0,242.0,3109.0,1249.0,1860.0,1133.0,274.0,859.0,9567.0,5199.0,4368.0,2050.0,870.0,1180.0,35.0,19.0,16.0,347.0,109.0,238.0,299.0,65.0,234.0,1369.0,677.0,692.0,364286.0,132480.0,231806.0,,
33.0,609.0,5745.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchengode,Total,173932.0,631507.0,316604.0,314903.0,54625.0,28213.0,26412.0,101029.0,50957.0,50072.0,491.0,254.0,237.0,432748.0,238817.0,193931.0,198759.0,77787.0,120972.0,323137.0,196335.0,126802.0,307534.0,189300.0,118234.0,36461.0,19355.0,17106.0,48416.0,20499.0,27917.0,11242.0,5370.0,5872.0,211415.0,144076.0,67339.0,15603.0,7035.0,8568.0,1155.0,467.0,688.0,5452.0,1929.0,3523.0,785.0,209.0,576.0,8211.0,4430.0,3781.0,13726.0,6317.0,7409.0,1030.0,415.0,615.0,5002.0,1814.0,3188.0,631.0,174.0,457.0,7063.0,3914.0,3149.0,1877.0,718.0,1159.0,125.0,52.0,73.0,450.0,115.0,335.0,154.0,35.0,119.0,1148.0,516.0,632.0,308370.0,120269.0,188101.0,,
33.0,609.0,5745.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchengode,Rural,82517.0,305765.0,152293.0,153472.0,25086.0,13173.0,11913.0,69629.0,35082.0,34547.0,225.0,117.0,108.0,203451.0,112533.0,90918.0,102314.0,39760.0,62554.0,160773.0,91666.0,69107.0,151622.0,87755.0,63867.0,32313.0,16940.0,15373.0,41360.0,17124.0,24236.0,4283.0,1970.0,2313.0,73666.0,51721.0,21945.0,9151.0,3911.0,5240.0,1044.0,410.0,634.0,4521.0,1565.0,2956.0,337.0,89.0,248.0,3249.0,1847.0,1402.0,8199.0,3567.0,4632.0,928.0,363.0,565.0,4180.0,1484.0,2696.0,282.0,85.0,197.0,2809.0,1635.0,1174.0,952.0,344.0,608.0,116.0,47.0,69.0,341.0,81.0,260.0,55.0,4.0,51.0,440.0,212.0,228.0,144992.0,60627.0,84365.0,,
33.0,609.0,5745.0,0.0,0.0,0.0,SUB-DISTRICT,Tiruchengode,Urban,91415.0,325742.0,164311.0,161431.0,29539.0,15040.0,14499.0,31400.0,15875.0,15525.0,266.0,137.0,129.0,229297.0,126284.0,103013.0,96445.0,38027.0,58418.0,162364.0,104669.0,57695.0,155912.0,101545.0,54367.0,4148.0,2415.0,1733.0,7056.0,3375.0,3681.0,6959.0,3400.0,3559.0,137749.0,92355.0,45394.0,6452.0,3124.0,3328.0,111.0,57.0,54.0,931.0,364.0,567.0,448.0,120.0,328.0,4962.0,2583.0,2379.0,5527.0,2750.0,2777.0,102.0,52.0,50.0,822.0,330.0,492.0,349.0,89.0,260.0,4254.0,2279.0,1975.0,925.0,374.0,551.0,9.0,5.0,4.0,109.0,34.0,75.0,99.0,31.0,68.0,708.0,304.0,404.0,163378.0,59642.0,103736.0,,
33.0,609.0,5745.0,634369.0,0.0,0.0,VILLAGE,Kumarapalaiyam Agraharam ,Rural,3642.0,12963.0,6591.0,6372.0,1160.0,590.0,570.0,1400.0,723.0,677.0,4.0,2.0,2.0,8878.0,4953.0,3925.0,4085.0,1638.0,2447.0,6877.0,4276.0,2601.0,6695.0,4215.0,2480.0,717.0,477.0,240.0,618.0,288.0,330.0,177.0,87.0,90.0,5183.0,3363.0,1820.0,182.0,61.0,121.0,11.0,4.0,7.0,52.0,17.0,35.0,13.0,2.0,11.0,106.0,38.0,68.0,142.0,50.0,92.0,10.0,3.0,7.0,52.0,17.0,35.0,11.0,2.0,9.0,69.0,28.0,41.0,40.0,11.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,37.0,10.0,27.0,6086.0,2315.0,3771.0,,
33.0,609.0,5745.0,634370.0,0.0,0.0,VILLAGE,Pallakkapalaiyam,Rural,1285.0,6315.0,3521.0,2794.0,318.0,162.0,156.0,1632.0,858.0,774.0,1.0,1.0,0.0,4540.0,2821.0,1719.0,1775.0,700.0,1075.0,2735.0,1539.0,1196.0,2255.0,1348.0,907.0,729.0,372.0,357.0,377.0,187.0,190.0,36.0,16.0,20.0,1113.0,773.0,340.0,480.0,191.0,289.0,15.0,5.0,10.0,306.0,111.0,195.0,13.0,5.0,8.0,146.0,70.0,76.0,402.0,155.0,247.0,13.0,5.0,8.0,263.0,94.0,169.0,11.0,5.0,6.0,115.0,51.0,64.0,78.0,36.0,42.0,2.0,0.0,2.0,43.0,17.0,26.0,2.0,0.0,2.0,31.0,19.0,12.0,3580.0,1982.0,1598.0,,
33.0,609.0,5745.0,634371.0,0.0,0.0,VILLAGE,Sowdapuram,Rural,499.0,1725.0,858.0,867.0,134.0,65.0,69.0,341.0,163.0,178.0,0.0,0.0,0.0,998.0,572.0,426.0,727.0,286.0,441.0,1120.0,571.0,549.0,1105.0,567.0,538.0,368.0,175.0,193.0,570.0,277.0,293.0,18.0,11.0,7.0,149.0,104.0,45.0,15.0,4.0,11.0,2.0,0.0,2.0,8.0,1.0,7.0,0.0,0.0,0.0,5.0,3.0,2.0,15.0,4.0,11.0,2.0,0.0,2.0,8.0,1.0,7.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,287.0,318.0,,
33.0,609.0,5745.0,634372.0,0.0,0.0,VILLAGE,Modamangalam,Rural,1061.0,3461.0,1732.0,1729.0,333.0,172.0,161.0,252.0,133.0,119.0,4.0,2.0,2.0,2126.0,1246.0,880.0,1335.0,486.0,849.0,2008.0,1158.0,850.0,1977.0,1145.0,832.0,240.0,114.0,126.0,98.0,40.0,58.0,27.0,14.0,13.0,1612.0,977.0,635.0,31.0,13.0,18.0,1.0,0.0,1.0,5.0,2.0,3.0,1.0,1.0,0.0,24.0,10.0,14.0,16.0,7.0,9.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,10.0,5.0,5.0,15.0,6.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,5.0,9.0,1453.0,574.0,879.0,,
33.0,609.0,5745.0,634373.0,0.0,0.0,VILLAGE,Modamangalam Agraharam,Rural,505.0,1657.0,834.0,823.0,153.0,76.0,77.0,590.0,291.0,299.0,0.0,0.0,0.0,1050.0,600.0,450.0,607.0,234.0,373.0,951.0,567.0,384.0,901.0,552.0,349.0,119.0,72.0,47.0,193.0,94.0,99.0,11.0,5.0,6.0,578.0,381.0,197.0,50.0,15.0,35.0,0.0,0.0,0.0,30.0,8.0,22.0,0.0,0.0,0.0,20.0,7.0,13.0,49.0,14.0,35.0,0.0,0.0,0.0,29.0,7.0,22.0,0.0,0.0,0.0,20.0,7.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0,267.0,439.0,,
33.0,609.0,5745.0,634374.0,0.0,0.0,VILLAGE,Karuveppampatti,Rural,2350.0,8128.0,4124.0,4004.0,857.0,448.0,409.0,2616.0,1328.0,1288.0,5.0,4.0,1.0,5519.0,3064.0,2455.0,2609.0,1060.0,1549.0,4054.0,2692.0,1362.0,3798.0,2581.0,1217.0,463.0,260.0,203.0,783.0,295.0,488.0,49.0,14.0,35.0,2503.0,2012.0,491.0,256.0,111.0,145.0,11.0,4.0,7.0,188.0,77.0,111.0,14.0,1.0,13.0,43.0,29.0,14.0,248.0,108.0,140.0,11.0,4.0,7.0,188.0,77.0,111.0,11.0,1.0,10.0,38.0,26.0,12.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,3.0,2.0,4074.0,1432.0,2642.0,,
33.0,609.0,5745.0,634375.0,0.0,0.0,VILLAGE,Rajapalayam,Rural,1678.0,5787.0,2959.0,2828.0,530.0,288.0,242.0,1119.0,582.0,537.0,2.0,1.0,1.0,3726.0,2133.0,1593.0,2061.0,826.0,1235.0,3121.0,1900.0,1221.0,3043.0,1878.0,1165.0,347.0,178.0,169.0,789.0,321.0,468.0,56.0,12.0,44.0,1851.0,1367.0,484.0,78.0,22.0,56.0,2.0,0.0,2.0,22.0,2.0,20.0,5.0,0.0,5.0,49.0,20.0,29.0,78.0,22.0,56.0,2.0,0.0,2.0,22.0,2.0,20.0,5.0,0.0,5.0,49.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.0,1059.0,1607.0,,
33.0,609.0,5745.0,634376.0,0.0,0.0,VILLAGE,Karuppagoundampalayam,Rural,48.0,147.0,62.0,85.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,55.0,51.0,41.0,7.0,34.0,99.0,53.0,46.0,99.0,53.0,46.0,26.0,11.0,15.0,32.0,13.0,19.0,0.0,0.0,0.0,41.0,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,9.0,39.0,,
33.0,609.0,5745.0,634377.0,0.0,0.0,VILLAGE,Thirumangalam,Rural,115.0,395.0,189.0,206.0,23.0,10.0,13.0,149.0,73.0,76.0,0.0,0.0,0.0,255.0,145.0,110.0,140.0,44.0,96.0,235.0,139.0,96.0,235.0,139.0,96.0,65.0,32.0,33.0,71.0,23.0,48.0,3.0,1.0,2.0,96.0,83.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,50.0,110.0,,
33.0,609.0,5745.0,634378.0,0.0,0.0,VILLAGE,Karumapuram,Rural,1024.0,3327.0,1656.0,1671.0,264.0,136.0,128.0,968.0,474.0,494.0,0.0,0.0,0.0,2176.0,1243.0,933.0,1151.0,413.0,738.0,2144.0,1153.0,991.0,2140.0,1149.0,991.0,957.0,473.0,484.0,604.0,214.0,390.0,13.0,8.0,5.0,566.0,454.0,112.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1183.0,503.0,680.0,,
33.0,609.0,5745.0,634379.0,0.0,0.0,VILLAGE,Koothanatham,Rural,494.0,1706.0,874.0,832.0,152.0,77.0,75.0,445.0,228.0,217.0,0.0,0.0,0.0,1048.0,627.0,421.0,658.0,247.0,411.0,1081.0,570.0,511.0,1076.0,566.0,510.0,393.0,187.0,206.0,388.0,145.0,243.0,6.0,3.0,3.0,289.0,231.0,58.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,625.0,304.0,321.0,,
33.0,609.0,5745.0,634380.0,0.0,0.0,VILLAGE,Senbagamadevi,Rural,464.0,1555.0,789.0,766.0,130.0,63.0,67.0,529.0,262.0,267.0,0.0,0.0,0.0,991.0,589.0,402.0,564.0,200.0,364.0,873.0,497.0,376.0,861.0,491.0,370.0,317.0,153.0,164.0,285.0,118.0,167.0,4.0,1.0,3.0,255.0,219.0,36.0,12.0,6.0,6.0,2.0,0.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,5.0,3.0,2.0,7.0,3.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,682.0,292.0,390.0,,
33.0,609.0,5745.0,634381.0,0.0,0.0,VILLAGE,Ballakkuli Agraharam ,Rural,415.0,1457.0,746.0,711.0,141.0,77.0,64.0,616.0,317.0,299.0,0.0,0.0,0.0,866.0,513.0,353.0,591.0,233.0,358.0,835.0,474.0,361.0,826.0,468.0,358.0,269.0,140.0,129.0,376.0,164.0,212.0,5.0,3.0,2.0,176.0,161.0,15.0,9.0,6.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,4.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,622.0,272.0,350.0,,
33.0,609.0,5745.0,634382.0,0.0,0.0,VILLAGE,Mangalam,Rural,920.0,3185.0,1607.0,1578.0,256.0,131.0,125.0,1307.0,669.0,638.0,0.0,0.0,0.0,1834.0,1052.0,782.0,1351.0,555.0,796.0,1911.0,1033.0,878.0,1885.0,1016.0,869.0,560.0,285.0,275.0,898.0,423.0,475.0,77.0,38.0,39.0,350.0,270.0,80.0,26.0,17.0,9.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,20.0,12.0,8.0,21.0,13.0,8.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,17.0,10.0,7.0,5.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1274.0,574.0,700.0,,
33.0,609.0,5745.0,634383.0,0.0,0.0,VILLAGE,Sappayapuram,Rural,367.0,1331.0,680.0,651.0,140.0,71.0,69.0,306.0,157.0,149.0,0.0,0.0,0.0,789.0,455.0,334.0,542.0,225.0,317.0,639.0,409.0,230.0,633.0,406.0,227.0,52.0,42.0,10.0,261.0,123.0,138.0,11.0,9.0,2.0,309.0,232.0,77.0,6.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,692.0,271.0,421.0,,
33.0,609.0,5745.0,634384.0,0.0,0.0,VILLAGE,Mamundi Agraharam ,Rural,1262.0,4555.0,2301.0,2254.0,423.0,221.0,202.0,1175.0,605.0,570.0,0.0,0.0,0.0,2543.0,1470.0,1073.0,2012.0,831.0,1181.0,2680.0,1471.0,1209.0,2581.0,1426.0,1155.0,490.0,253.0,237.0,1104.0,435.0,669.0,230.0,147.0,83.0,757.0,591.0,166.0,99.0,45.0,54.0,9.0,2.0,7.0,57.0,21.0,36.0,6.0,3.0,3.0,27.0,19.0,8.0,82.0,41.0,41.0,7.0,2.0,5.0,52.0,20.0,32.0,5.0,3.0,2.0,18.0,16.0,2.0,17.0,4.0,13.0,2.0,0.0,2.0,5.0,1.0,4.0,1.0,0.0,1.0,9.0,3.0,6.0,1875.0,830.0,1045.0,,
33.0,609.0,5745.0,634385.0,0.0,0.0,VILLAGE,Mallasamudram (West),Rural,1477.0,7094.0,4043.0,3051.0,388.0,212.0,176.0,1860.0,955.0,905.0,0.0,0.0,0.0,5149.0,3281.0,1868.0,1945.0,762.0,1183.0,3070.0,1651.0,1419.0,2980.0,1608.0,1372.0,786.0,401.0,385.0,1398.0,640.0,758.0,136.0,70.0,66.0,660.0,497.0,163.0,90.0,43.0,47.0,15.0,8.0,7.0,33.0,13.0,20.0,4.0,1.0,3.0,38.0,21.0,17.0,87.0,41.0,46.0,15.0,8.0,7.0,30.0,11.0,19.0,4.0,1.0,3.0,38.0,21.0,17.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4024.0,2392.0,1632.0,,
33.0,609.0,5745.0,634386.0,0.0,0.0,VILLAGE,Kolankondai,Rural,305.0,1132.0,554.0,578.0,89.0,48.0,41.0,546.0,267.0,279.0,0.0,0.0,0.0,675.0,379.0,296.0,457.0,175.0,282.0,797.0,404.0,393.0,738.0,373.0,365.0,186.0,91.0,95.0,505.0,247.0,258.0,1.0,0.0,1.0,46.0,35.0,11.0,59.0,31.0,28.0,7.0,2.0,5.0,20.0,11.0,9.0,6.0,3.0,3.0,26.0,15.0,11.0,42.0,26.0,16.0,6.0,2.0,4.0,16.0,10.0,6.0,4.0,2.0,2.0,16.0,12.0,4.0,17.0,5.0,12.0,1.0,0.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,10.0,3.0,7.0,335.0,150.0,185.0,,
33.0,609.0,5745.0,634387.0,0.0,0.0,VILLAGE,Kavundampalaiyam,Rural,284.0,940.0,469.0,471.0,73.0,42.0,31.0,219.0,109.0,110.0,0.0,0.0,0.0,544.0,305.0,239.0,396.0,164.0,232.0,665.0,327.0,338.0,658.0,326.0,332.0,126.0,59.0,67.0,454.0,200.0,254.0,10.0,5.0,5.0,68.0,62.0,6.0,7.0,1.0,6.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,6.0,1.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,142.0,133.0,,
33.0,609.0,5745.0,634388.0,0.0,0.0,VILLAGE,Sembampalaiyam,Rural,162.0,515.0,259.0,256.0,45.0,22.0,23.0,36.0,19.0,17.0,0.0,0.0,0.0,299.0,177.0,122.0,216.0,82.0,134.0,266.0,171.0,95.0,265.0,170.0,95.0,85.0,52.0,33.0,66.0,28.0,38.0,2.0,2.0,0.0,112.0,88.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,88.0,161.0,,
33.0,609.0,5745.0,634389.0,0.0,0.0,VILLAGE,Karumanur,Rural,314.0,1049.0,538.0,511.0,84.0,47.0,37.0,250.0,130.0,120.0,0.0,0.0,0.0,648.0,379.0,269.0,401.0,159.0,242.0,617.0,325.0,292.0,613.0,322.0,291.0,297.0,141.0,156.0,179.0,70.0,109.0,1.0,0.0,1.0,136.0,111.0,25.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,213.0,219.0,,
33.0,609.0,5745.0,634390.0,0.0,0.0,VILLAGE,Pillanatham,Rural,438.0,1402.0,699.0,703.0,100.0,54.0,46.0,339.0,176.0,163.0,0.0,0.0,0.0,850.0,489.0,361.0,552.0,210.0,342.0,872.0,471.0,401.0,830.0,463.0,367.0,320.0,168.0,152.0,308.0,135.0,173.0,5.0,4.0,1.0,197.0,156.0,41.0,42.0,8.0,34.0,4.0,2.0,2.0,31.0,4.0,27.0,3.0,1.0,2.0,4.0,1.0,3.0,37.0,6.0,31.0,2.0,1.0,1.0,28.0,3.0,25.0,3.0,1.0,2.0,4.0,1.0,3.0,5.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,228.0,302.0,,
33.0,609.0,5745.0,634391.0,0.0,0.0,VILLAGE,Vattur,Rural,1654.0,5478.0,2718.0,2760.0,455.0,234.0,221.0,1923.0,965.0,958.0,0.0,0.0,0.0,3363.0,1950.0,1413.0,2115.0,768.0,1347.0,3385.0,1827.0,1558.0,3355.0,1818.0,1537.0,1156.0,605.0,551.0,1094.0,349.0,745.0,86.0,40.0,46.0,1019.0,824.0,195.0,30.0,9.0,21.0,3.0,0.0,3.0,15.0,1.0,14.0,1.0,0.0,1.0,11.0,8.0,3.0,19.0,7.0,12.0,2.0,0.0,2.0,9.0,1.0,8.0,0.0,0.0,0.0,8.0,6.0,2.0,11.0,2.0,9.0,1.0,0.0,1.0,6.0,0.0,6.0,1.0,0.0,1.0,3.0,2.0,1.0,2093.0,891.0,1202.0,,
33.0,609.0,5745.0,634392.0,0.0,0.0,VILLAGE,Kottaipalayam,Rural,215.0,775.0,401.0,374.0,60.0,29.0,31.0,456.0,241.0,215.0,0.0,0.0,0.0,485.0,289.0,196.0,290.0,112.0,178.0,501.0,258.0,243.0,315.0,206.0,109.0,89.0,55.0,34.0,102.0,44.0,58.0,1.0,1.0,0.0,123.0,106.0,17.0,186.0,52.0,134.0,59.0,12.0,47.0,112.0,28.0,84.0,0.0,0.0,0.0,15.0,12.0,3.0,149.0,43.0,106.0,44.0,8.0,36.0,92.0,24.0,68.0,0.0,0.0,0.0,13.0,11.0,2.0,37.0,9.0,28.0,15.0,4.0,11.0,20.0,4.0,16.0,0.0,0.0,0.0,2.0,1.0,1.0,274.0,143.0,131.0,,
33.0,609.0,5745.0,634393.0,0.0,0.0,VILLAGE,Thirumangalam Pudupalayam,Rural,208.0,909.0,527.0,382.0,56.0,31.0,25.0,384.0,204.0,180.0,0.0,0.0,0.0,722.0,467.0,255.0,187.0,60.0,127.0,500.0,254.0,246.0,497.0,253.0,244.0,357.0,154.0,203.0,19.0,7.0,12.0,1.0,1.0,0.0,120.0,91.0,29.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409.0,273.0,136.0,,
33.0,609.0,5745.0,634394.0,0.0,0.0,VILLAGE,Andarapatti,Rural,231.0,771.0,392.0,379.0,59.0,36.0,23.0,159.0,81.0,78.0,0.0,0.0,0.0,481.0,277.0,204.0,290.0,115.0,175.0,475.0,241.0,234.0,471.0,238.0,233.0,186.0,89.0,97.0,156.0,62.0,94.0,6.0,0.0,6.0,123.0,87.0,36.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,151.0,145.0,,
