State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,STATE,State - Code
33.0,631.0,5891.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnagiri,Total,141113.0,597071.0,300821.0,296250.0,67555.0,35118.0,32437.0,72114.0,35913.0,36201.0,4427.0,2189.0,2238.0,385758.0,214076.0,171682.0,211313.0,86745.0,124568.0,268706.0,171142.0,97564.0,222851.0,148113.0,74738.0,54817.0,34437.0,20380.0,60941.0,31318.0,29623.0,4934.0,2165.0,2769.0,102159.0,80193.0,21966.0,45855.0,23029.0,22826.0,5898.0,3311.0,2587.0,22307.0,9821.0,12486.0,2427.0,762.0,1665.0,15223.0,9135.0,6088.0,39560.0,20125.0,19435.0,5328.0,3049.0,2279.0,19518.0,8780.0,10738.0,1895.0,517.0,1378.0,12819.0,7779.0,5040.0,6295.0,2904.0,3391.0,570.0,262.0,308.0,2789.0,1041.0,1748.0,532.0,245.0,287.0,2404.0,1356.0,1048.0,328365.0,129679.0,198686.0,,
33.0,631.0,5891.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnagiri,Rural,109964.0,464232.0,234646.0,229586.0,53052.0,27575.0,25477.0,56560.0,28289.0,28271.0,4040.0,1991.0,2049.0,284468.0,160931.0,123537.0,179764.0,73715.0,106049.0,221452.0,135126.0,86326.0,180110.0,114727.0,65383.0,53812.0,33707.0,20105.0,60059.0,30777.0,29282.0,3898.0,1680.0,2218.0,62341.0,48563.0,13778.0,41342.0,20399.0,20943.0,5769.0,3238.0,2531.0,21340.0,9321.0,12019.0,1958.0,673.0,1285.0,12275.0,7167.0,5108.0,35740.0,17931.0,17809.0,5213.0,2984.0,2229.0,18612.0,8309.0,10303.0,1506.0,456.0,1050.0,10409.0,6182.0,4227.0,5602.0,2468.0,3134.0,556.0,254.0,302.0,2728.0,1012.0,1716.0,452.0,217.0,235.0,1866.0,985.0,881.0,242780.0,99520.0,143260.0,,
33.0,631.0,5891.0,0.0,0.0,0.0,SUB-DISTRICT,Krishnagiri,Urban,31149.0,132839.0,66175.0,66664.0,14503.0,7543.0,6960.0,15554.0,7624.0,7930.0,387.0,198.0,189.0,101290.0,53145.0,48145.0,31549.0,13030.0,18519.0,47254.0,36016.0,11238.0,42741.0,33386.0,9355.0,1005.0,730.0,275.0,882.0,541.0,341.0,1036.0,485.0,551.0,39818.0,31630.0,8188.0,4513.0,2630.0,1883.0,129.0,73.0,56.0,967.0,500.0,467.0,469.0,89.0,380.0,2948.0,1968.0,980.0,3820.0,2194.0,1626.0,115.0,65.0,50.0,906.0,471.0,435.0,389.0,61.0,328.0,2410.0,1597.0,813.0,693.0,436.0,257.0,14.0,8.0,6.0,61.0,29.0,32.0,80.0,28.0,52.0,538.0,371.0,167.0,85585.0,30159.0,55426.0,,
33.0,631.0,5891.0,643851.0,0.0,0.0,VILLAGE,Bathimadugu,Rural,139.0,670.0,356.0,314.0,92.0,54.0,38.0,2.0,0.0,2.0,0.0,0.0,0.0,318.0,188.0,130.0,352.0,168.0,184.0,318.0,152.0,166.0,315.0,149.0,166.0,2.0,2.0,0.0,303.0,147.0,156.0,0.0,0.0,0.0,10.0,0.0,10.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,204.0,148.0,,
33.0,631.0,5891.0,643852.0,0.0,0.0,VILLAGE,Idipalli,Rural,87.0,432.0,224.0,208.0,51.0,28.0,23.0,426.0,221.0,205.0,0.0,0.0,0.0,235.0,134.0,101.0,197.0,90.0,107.0,181.0,132.0,49.0,70.0,54.0,16.0,9.0,7.0,2.0,6.0,5.0,1.0,6.0,4.0,2.0,49.0,38.0,11.0,111.0,78.0,33.0,11.0,8.0,3.0,95.0,68.0,27.0,3.0,0.0,3.0,2.0,2.0,0.0,109.0,77.0,32.0,11.0,8.0,3.0,93.0,67.0,26.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,92.0,159.0,,
33.0,631.0,5891.0,643853.0,0.0,0.0,VILLAGE,Oddapalli,Rural,23.0,123.0,64.0,59.0,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,26.0,26.0,71.0,38.0,33.0,48.0,29.0,19.0,36.0,26.0,10.0,31.0,22.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,35.0,40.0,,
33.0,631.0,5891.0,643854.0,0.0,0.0,VILLAGE,Idipalli,Rural,74.0,330.0,167.0,163.0,42.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,74.0,55.0,201.0,93.0,108.0,167.0,94.0,73.0,143.0,90.0,53.0,13.0,12.0,1.0,98.0,50.0,48.0,0.0,0.0,0.0,32.0,28.0,4.0,24.0,4.0,20.0,0.0,0.0,0.0,17.0,1.0,16.0,0.0,0.0,0.0,7.0,3.0,4.0,24.0,4.0,20.0,0.0,0.0,0.0,17.0,1.0,16.0,0.0,0.0,0.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,73.0,90.0,,
33.0,631.0,5891.0,643855.0,0.0,0.0,VILLAGE,Sigaralapalli,Rural,151.0,719.0,383.0,336.0,96.0,57.0,39.0,34.0,15.0,19.0,9.0,4.0,5.0,370.0,220.0,150.0,349.0,163.0,186.0,525.0,281.0,244.0,495.0,264.0,231.0,3.0,2.0,1.0,488.0,259.0,229.0,0.0,0.0,0.0,4.0,3.0,1.0,30.0,17.0,13.0,1.0,0.0,1.0,16.0,9.0,7.0,0.0,0.0,0.0,13.0,8.0,5.0,30.0,17.0,13.0,1.0,0.0,1.0,16.0,9.0,7.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,102.0,92.0,,
33.0,631.0,5891.0,643856.0,0.0,0.0,VILLAGE,Kasiruganapalli,Rural,61.0,296.0,157.0,139.0,48.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,93.0,56.0,147.0,64.0,83.0,151.0,89.0,62.0,93.0,68.0,25.0,16.0,16.0,0.0,76.0,52.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,21.0,37.0,0.0,0.0,0.0,49.0,14.0,35.0,0.0,0.0,0.0,9.0,7.0,2.0,54.0,20.0,34.0,0.0,0.0,0.0,47.0,14.0,33.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,145.0,68.0,77.0,,
33.0,631.0,5891.0,643857.0,0.0,0.0,VILLAGE,Gollapalli,Rural,121.0,534.0,291.0,243.0,58.0,30.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,158.0,83.0,293.0,133.0,160.0,308.0,181.0,127.0,308.0,181.0,127.0,78.0,73.0,5.0,227.0,106.0,121.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,110.0,116.0,,
33.0,631.0,5891.0,643858.0,0.0,0.0,VILLAGE,Singiripalli,Rural,112.0,558.0,299.0,259.0,51.0,29.0,22.0,38.0,21.0,17.0,0.0,0.0,0.0,347.0,216.0,131.0,211.0,83.0,128.0,341.0,202.0,139.0,332.0,194.0,138.0,235.0,135.0,100.0,68.0,40.0,28.0,0.0,0.0,0.0,29.0,19.0,10.0,9.0,8.0,1.0,2.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,8.0,1.0,2.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,97.0,120.0,,
33.0,631.0,5891.0,643859.0,0.0,0.0,VILLAGE,Ebbiri,Rural,55.0,259.0,137.0,122.0,18.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,85.0,59.0,115.0,52.0,63.0,166.0,95.0,71.0,166.0,95.0,71.0,158.0,92.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,42.0,51.0,,
33.0,631.0,5891.0,643860.0,0.0,0.0,VILLAGE,Konganepalli,Rural,183.0,885.0,433.0,452.0,111.0,49.0,62.0,187.0,86.0,101.0,120.0,56.0,64.0,338.0,197.0,141.0,547.0,236.0,311.0,434.0,265.0,169.0,382.0,244.0,138.0,218.0,134.0,84.0,13.0,7.0,6.0,9.0,5.0,4.0,142.0,98.0,44.0,52.0,21.0,31.0,27.0,8.0,19.0,1.0,1.0,0.0,3.0,1.0,2.0,21.0,11.0,10.0,39.0,16.0,23.0,20.0,6.0,14.0,0.0,0.0,0.0,3.0,1.0,2.0,16.0,9.0,7.0,13.0,5.0,8.0,7.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,451.0,168.0,283.0,,
33.0,631.0,5891.0,643861.0,0.0,0.0,VILLAGE,Sigaramaganapalli,Rural,322.0,1302.0,672.0,630.0,105.0,57.0,48.0,175.0,86.0,89.0,5.0,2.0,3.0,831.0,469.0,362.0,471.0,203.0,268.0,705.0,383.0,322.0,561.0,303.0,258.0,245.0,131.0,114.0,213.0,113.0,100.0,11.0,8.0,3.0,92.0,51.0,41.0,144.0,80.0,64.0,33.0,20.0,13.0,71.0,39.0,32.0,1.0,1.0,0.0,39.0,20.0,19.0,138.0,79.0,59.0,32.0,20.0,12.0,69.0,38.0,31.0,1.0,1.0,0.0,36.0,20.0,16.0,6.0,1.0,5.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,597.0,289.0,308.0,,
33.0,631.0,5891.0,643862.0,0.0,0.0,VILLAGE,Doddaganama,Rural,253.0,1143.0,594.0,549.0,133.0,65.0,68.0,162.0,83.0,79.0,21.0,10.0,11.0,614.0,370.0,244.0,529.0,224.0,305.0,645.0,367.0,278.0,475.0,273.0,202.0,208.0,115.0,93.0,87.0,54.0,33.0,28.0,7.0,21.0,152.0,97.0,55.0,170.0,94.0,76.0,5.0,3.0,2.0,148.0,81.0,67.0,5.0,1.0,4.0,12.0,9.0,3.0,170.0,94.0,76.0,5.0,3.0,2.0,148.0,81.0,67.0,5.0,1.0,4.0,12.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,227.0,271.0,,
33.0,631.0,5891.0,643863.0,0.0,0.0,VILLAGE,Gangamadugu,Rural,147.0,652.0,344.0,308.0,95.0,52.0,43.0,39.0,16.0,23.0,0.0,0.0,0.0,270.0,162.0,108.0,382.0,182.0,200.0,290.0,215.0,75.0,82.0,62.0,20.0,18.0,13.0,5.0,26.0,20.0,6.0,3.0,2.0,1.0,35.0,27.0,8.0,208.0,153.0,55.0,9.0,9.0,0.0,170.0,127.0,43.0,6.0,4.0,2.0,23.0,13.0,10.0,200.0,149.0,51.0,9.0,9.0,0.0,166.0,125.0,41.0,6.0,4.0,2.0,19.0,11.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,362.0,129.0,233.0,,
33.0,631.0,5891.0,643864.0,0.0,0.0,VILLAGE,Manavarnapalli,Rural,238.0,1070.0,527.0,543.0,118.0,60.0,58.0,84.0,40.0,44.0,35.0,15.0,20.0,667.0,377.0,290.0,403.0,150.0,253.0,511.0,316.0,195.0,500.0,311.0,189.0,127.0,81.0,46.0,201.0,94.0,107.0,23.0,14.0,9.0,149.0,122.0,27.0,11.0,5.0,6.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,11.0,5.0,6.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,211.0,348.0,,
33.0,631.0,5891.0,643865.0,0.0,0.0,VILLAGE,Siranapalli,Rural,96.0,389.0,193.0,196.0,44.0,22.0,22.0,92.0,39.0,53.0,0.0,0.0,0.0,131.0,65.0,66.0,258.0,128.0,130.0,266.0,134.0,132.0,4.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,262.0,131.0,131.0,2.0,1.0,1.0,260.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,130.0,130.0,2.0,1.0,1.0,258.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,59.0,64.0,,
33.0,631.0,5891.0,643866.0,0.0,0.0,VILLAGE,Neralagiri,Rural,299.0,1453.0,767.0,686.0,170.0,98.0,72.0,95.0,53.0,42.0,0.0,0.0,0.0,816.0,471.0,345.0,637.0,296.0,341.0,608.0,461.0,147.0,586.0,451.0,135.0,216.0,203.0,13.0,198.0,108.0,90.0,2.0,2.0,0.0,170.0,138.0,32.0,22.0,10.0,12.0,5.0,4.0,1.0,7.0,1.0,6.0,0.0,0.0,0.0,10.0,5.0,5.0,20.0,8.0,12.0,4.0,3.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,10.0,5.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.0,306.0,539.0,,
33.0,631.0,5891.0,643867.0,0.0,0.0,VILLAGE,Balanapalli,Rural,103.0,464.0,230.0,234.0,54.0,29.0,25.0,25.0,13.0,12.0,1.0,0.0,1.0,269.0,148.0,121.0,195.0,82.0,113.0,287.0,174.0,113.0,220.0,141.0,79.0,94.0,60.0,34.0,96.0,56.0,40.0,7.0,5.0,2.0,23.0,20.0,3.0,67.0,33.0,34.0,3.0,2.0,1.0,35.0,16.0,19.0,0.0,0.0,0.0,29.0,15.0,14.0,66.0,32.0,34.0,3.0,2.0,1.0,35.0,16.0,19.0,0.0,0.0,0.0,28.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,177.0,56.0,121.0,,
33.0,631.0,5891.0,643868.0,0.0,0.0,VILLAGE,Krishnappanayakkanpudur,Rural,129.0,578.0,282.0,296.0,65.0,28.0,37.0,5.0,3.0,2.0,0.0,0.0,0.0,186.0,94.0,92.0,392.0,188.0,204.0,308.0,176.0,132.0,300.0,172.0,128.0,200.0,121.0,79.0,93.0,47.0,46.0,0.0,0.0,0.0,7.0,4.0,3.0,8.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,8.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,106.0,164.0,,
33.0,631.0,5891.0,643869.0,0.0,0.0,VILLAGE,Helekrishnnapuram,Rural,126.0,535.0,274.0,261.0,78.0,36.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,117.0,87.0,331.0,157.0,174.0,343.0,178.0,165.0,336.0,173.0,163.0,187.0,100.0,87.0,143.0,71.0,72.0,0.0,0.0,0.0,6.0,2.0,4.0,7.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,4.0,3.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,96.0,96.0,,
33.0,631.0,5891.0,643870.0,0.0,0.0,VILLAGE,Theertham  ,Rural,515.0,2333.0,1181.0,1152.0,323.0,172.0,151.0,228.0,115.0,113.0,0.0,0.0,0.0,1155.0,639.0,516.0,1178.0,542.0,636.0,1192.0,704.0,488.0,1175.0,703.0,472.0,247.0,169.0,78.0,769.0,420.0,349.0,13.0,7.0,6.0,146.0,107.0,39.0,17.0,1.0,16.0,1.0,0.0,1.0,13.0,0.0,13.0,0.0,0.0,0.0,3.0,1.0,2.0,16.0,1.0,15.0,1.0,0.0,1.0,12.0,0.0,12.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,477.0,664.0,,
33.0,631.0,5891.0,643871.0,0.0,0.0,VILLAGE,Ettipalli,Rural,189.0,933.0,488.0,445.0,89.0,49.0,40.0,810.0,426.0,384.0,0.0,0.0,0.0,501.0,300.0,201.0,432.0,188.0,244.0,479.0,312.0,167.0,473.0,309.0,164.0,107.0,79.0,28.0,215.0,105.0,110.0,3.0,2.0,1.0,148.0,123.0,25.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,176.0,278.0,,
33.0,631.0,5891.0,643872.0,0.0,0.0,VILLAGE,Ettipallitalav,Rural,33.0,163.0,84.0,79.0,29.0,15.0,14.0,64.0,37.0,27.0,0.0,0.0,0.0,77.0,47.0,30.0,86.0,37.0,49.0,71.0,54.0,17.0,69.0,53.0,16.0,34.0,27.0,7.0,0.0,0.0,0.0,9.0,4.0,5.0,26.0,22.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,30.0,62.0,,
33.0,631.0,5891.0,643873.0,0.0,0.0,VILLAGE,Pannapalli  ,Rural,547.0,2304.0,1154.0,1150.0,219.0,119.0,100.0,66.0,35.0,31.0,0.0,0.0,0.0,1404.0,803.0,601.0,900.0,351.0,549.0,1124.0,664.0,460.0,914.0,556.0,358.0,508.0,311.0,197.0,220.0,104.0,116.0,11.0,7.0,4.0,175.0,134.0,41.0,210.0,108.0,102.0,11.0,5.0,6.0,167.0,83.0,84.0,3.0,2.0,1.0,29.0,18.0,11.0,205.0,108.0,97.0,9.0,5.0,4.0,165.0,83.0,82.0,2.0,2.0,0.0,29.0,18.0,11.0,5.0,0.0,5.0,2.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1180.0,490.0,690.0,,
33.0,631.0,5891.0,643874.0,0.0,0.0,VILLAGE,Budhimutlu,Rural,377.0,1604.0,822.0,782.0,163.0,92.0,71.0,252.0,125.0,127.0,0.0,0.0,0.0,1011.0,595.0,416.0,593.0,227.0,366.0,698.0,488.0,210.0,692.0,484.0,208.0,194.0,154.0,40.0,243.0,118.0,125.0,8.0,8.0,0.0,247.0,204.0,43.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,906.0,334.0,572.0,,
33.0,631.0,5891.0,643875.0,0.0,0.0,VILLAGE,Undiganatham,Rural,198.0,941.0,480.0,461.0,139.0,75.0,64.0,5.0,3.0,2.0,267.0,133.0,134.0,418.0,247.0,171.0,523.0,233.0,290.0,445.0,295.0,150.0,362.0,245.0,117.0,66.0,61.0,5.0,247.0,138.0,109.0,1.0,1.0,0.0,48.0,45.0,3.0,83.0,50.0,33.0,25.0,19.0,6.0,51.0,26.0,25.0,0.0,0.0,0.0,7.0,5.0,2.0,66.0,46.0,20.0,25.0,19.0,6.0,34.0,22.0,12.0,0.0,0.0,0.0,7.0,5.0,2.0,17.0,4.0,13.0,0.0,0.0,0.0,17.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,185.0,311.0,,
33.0,631.0,5891.0,643876.0,0.0,0.0,VILLAGE,Ariyanapalli,Rural,125.0,514.0,260.0,254.0,64.0,39.0,25.0,177.0,95.0,82.0,0.0,0.0,0.0,258.0,149.0,109.0,256.0,111.0,145.0,291.0,160.0,131.0,281.0,154.0,127.0,42.0,23.0,19.0,182.0,87.0,95.0,11.0,8.0,3.0,46.0,36.0,10.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,5.0,3.0,10.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,100.0,123.0,,
33.0,631.0,5891.0,643877.0,0.0,0.0,VILLAGE,Nachikuppam,Rural,304.0,1393.0,701.0,692.0,159.0,86.0,73.0,154.0,79.0,75.0,0.0,0.0,0.0,872.0,478.0,394.0,521.0,223.0,298.0,648.0,411.0,237.0,344.0,246.0,98.0,86.0,75.0,11.0,46.0,26.0,20.0,1.0,1.0,0.0,211.0,144.0,67.0,304.0,165.0,139.0,17.0,11.0,6.0,263.0,139.0,124.0,2.0,1.0,1.0,22.0,14.0,8.0,298.0,162.0,136.0,16.0,10.0,6.0,258.0,137.0,121.0,2.0,1.0,1.0,22.0,14.0,8.0,6.0,3.0,3.0,1.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,290.0,455.0,,
33.0,631.0,5891.0,643878.0,0.0,0.0,VILLAGE,Tankadikuppam  ,Rural,207.0,1023.0,517.0,506.0,157.0,80.0,77.0,72.0,37.0,35.0,0.0,0.0,0.0,484.0,271.0,213.0,539.0,246.0,293.0,624.0,314.0,310.0,221.0,116.0,105.0,12.0,7.0,5.0,171.0,86.0,85.0,0.0,0.0,0.0,38.0,23.0,15.0,403.0,198.0,205.0,57.0,55.0,2.0,299.0,119.0,180.0,34.0,18.0,16.0,13.0,6.0,7.0,200.0,152.0,48.0,54.0,53.0,1.0,100.0,75.0,25.0,34.0,18.0,16.0,12.0,6.0,6.0,203.0,46.0,157.0,3.0,2.0,1.0,199.0,44.0,155.0,0.0,0.0,0.0,1.0,0.0,1.0,399.0,203.0,196.0,,
33.0,631.0,5891.0,643879.0,0.0,0.0,VILLAGE,Ragimakanapalli,Rural,322.0,1186.0,608.0,578.0,104.0,51.0,53.0,141.0,70.0,71.0,0.0,0.0,0.0,732.0,404.0,328.0,454.0,204.0,250.0,656.0,366.0,290.0,424.0,254.0,170.0,216.0,118.0,98.0,21.0,12.0,9.0,11.0,4.0,7.0,176.0,120.0,56.0,232.0,112.0,120.0,29.0,16.0,13.0,70.0,37.0,33.0,12.0,3.0,9.0,121.0,56.0,65.0,226.0,109.0,117.0,29.0,16.0,13.0,70.0,37.0,33.0,9.0,2.0,7.0,118.0,54.0,64.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,1.0,530.0,242.0,288.0,,
33.0,631.0,5891.0,643880.0,0.0,0.0,VILLAGE,Kariyasagaramthalav,Rural,513.0,2189.0,1103.0,1086.0,262.0,134.0,128.0,88.0,47.0,41.0,0.0,0.0,0.0,1095.0,629.0,466.0,1094.0,474.0,620.0,1240.0,684.0,556.0,1025.0,582.0,443.0,406.0,226.0,180.0,523.0,298.0,225.0,3.0,1.0,2.0,93.0,57.0,36.0,215.0,102.0,113.0,19.0,10.0,9.0,80.0,40.0,40.0,5.0,1.0,4.0,111.0,51.0,60.0,180.0,96.0,84.0,18.0,10.0,8.0,75.0,37.0,38.0,2.0,1.0,1.0,85.0,48.0,37.0,35.0,6.0,29.0,1.0,0.0,1.0,5.0,3.0,2.0,3.0,0.0,3.0,26.0,3.0,23.0,949.0,419.0,530.0,,
